 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.858860966	0.0700376336	0.014484018796	0.0036735612118	0.0048165078022	0.0225686110168	0.025558727536
i	0.726967834	0.161541574	0.0367410108	0.0083831518	0.001272161496	0.0043436513676	0.0607507159305
k	0.2961076	0.661445468	0.0193521805	0.002207289348	0.00154811982054	0.00398882740337	0.0153505753352
à	0.0538652968	0.502400056	0.3135221354	0.02893790634	0.006407131866	0.00797269258	0.0868945669322
n	0.04979886718	0.906811032	0.0303526092	0.000823642926	0.003882249312	0.0048969359148	0.00343473931
n	0.07685913884	0.651625592	0.1245254708	0.01083136443	0.00180040436	0.007731514128	0.12662659999
i	0.1488732704	0.406617974	0.2449228812	0.00924265608	0.0412735226	0.007471520872	0.141598264704
e	0.01170636609	0.420706874	0.4551468	0.0561423303	0.006433409708	0.0447189972069	0.005145334818
A	0.00092666109948	0.07268888728	0.69790945	0.158843144	0.01698492574	0.006131868858	0.046515126952
n	0.00362977585867	0.037390744766	0.5585220956	0.111837539	0.20134592306	0.07085966079	0.0164143826
n	0.00436914421878	0.0297561825	0.785076318	0.038170175	0.00981633852	0.006741118426	0.126070818202
a	0.038364704314	0.0341377962	0.589439478	0.151996062	0.0458900016	0.04241304618	0.09775904176
o	0.0016757461283	0.007817894847	0.138138465	0.766976902	0.0651083914	0.01292015608	0.00736247078
s	0.000180060413332	0.0019606986832	0.0313813047	0.7220943	0.2106190039	0.011128933442	0.02263568476
à	0.00337182041042	0.007028496328	0.1019725886	0.339923236	0.217221472	0.112132214	0.21835010148
m	0.000382023945828	0.00241135798714	0.06241442966	0.1572094052	0.655013654	0.0965727916	0.02599627018
b	0.00346870151486	0.00404607982536	0.09311987528	0.1706855658	0.4661114526	0.1580963632	0.10447196534
a	0.0166155507288	0.0161723817	0.1191555302	0.1114976934	0.340415332	0.22105823696	0.175085321442
p	0.00245440789952	0.002620113776	0.010869634588	0.0859927578	0.280772004	0.3710113548	0.24627975176
o	0.00314514832366	0.003904792856	0.008267591766	0.0690444243	0.1240015734	0.473458636	0.318177678467
r	0.0112608085898	0.0125030361878	0.0214741288268	0.0362961795	0.093849307	0.613646866	0.2109696076
n	0.00207447274717	0.00315263108733	0.005146146622	0.00820506962	0.03223456786	0.5100655524	0.439121557992
ò	0.00495608114792	0.006027432096	0.01966266158	0.03874879852	0.08010636992	0.45185245	0.398646276014
</S>	0.000593869578143	0.00490326566344	0.00932790122966	0.01098411276	0.0608643042	0.420699248	0.492627456
