 	che	non	li	aspetiamo	</S>
n	0.6758600952	0.00569806482	0.004615567448	0.0880037200199	0.22582253745
a	0.908544394	0.0323919732	0.03603778556	0.0074393068678	0.0155864880218
m	0.275255946	0.520304709	0.104781712	0.019690823674	0.07996694524
i	0.12688433158	0.1293151548	0.417228119	0.272670273105	0.053901981612
t	0.0566824362	0.282776802	0.396914198	0.14936046872	0.11426594012
u	0.0859571882	0.1245026944	0.461161154	0.219274294334	0.109104755282
s	0.009335271006	0.0699155114	0.64820329	0.158829122	0.1137167284
m	0.045605331172	0.0329643964	0.4380712454	0.348944948095	0.134413991465
ì	0.02585563236	0.03276049016	0.3827084604	0.4031294326	0.155546084841
n	0.051557101286	0.125894821668	0.4232344784	0.312568721	0.0867448046
o	0.095221930692	0.08238780162	0.5281072554	0.240893377	0.053389525
m	0.0023013278706	0.006303610838	0.13026386564	0.463864906	0.397266498
e	0.01970176818	0.01216837168	0.3403714012	0.38008009536	0.247678474822
</S>	0.000959149176	0.00478023179	0.025473115672	0.3417609518	0.627026652
