 	il	dito	si	gonfiò	</S>
o	0.874656462	0.08082991684	0.002475288238	0.0165133286946	0.025524973959
d	0.6541444748	0.333127198	0.007940814235	0.000757478774418	0.0040301849842
à	0.2654875448	0.4446722834	0.068027602648	0.05950500544	0.162307629581
t	0.0786600227	0.914176492	0.00321727151	0.002694806672	0.001251435892
t	0.113060204	0.756531748	0.01052810646	0.01167146664	0.10820855666
i	0.0539063042	0.4572129336	0.0607910136	0.13179132364	0.296298330342
l	0.01052648274	0.625816422	0.307970532	0.0386273252	0.01705912578
o	0.04554639766	0.470938902	0.229841474	0.1790340826	0.074639040418
è	0.006798802242	0.1332576446	0.714688564	0.075141378	0.0701135494
p	0.028861691134	0.359888536	0.4036037184	0.1725374358	0.03510843368
r	0.0097094019112	0.083146653	0.406177763	0.371733918	0.12923231186
i	0.005066003	0.02950020208	0.143637046	0.415052348	0.40674441564
m	0.001261925298	0.0020758911748	0.086220556	0.556369918	0.354071791
m	0.00601207285762	0.011985820822	0.0750897732	0.530565648	0.376346649188
è	0.0129902101968	0.01555825146	0.09010477474	0.4078379528	0.473508716378
n	0.0530738670697	0.021452839172	0.0276896778	0.555036466	0.342747143
o	0.0472089377832	0.140184183416	0.0779607116	0.301725946	0.432920124
</S>	0.00146967244506	0.001238928154	0.0035023498	0.422880586	0.570908498
