 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.87867226	0.049545713188	0.004750682106	0.009512613754	0.001589716238	0.0137769164252	0.0421520120835
t	0.80066647	0.031540987	0.02292252366	0.01807694078	0.005651822881	0.003301814134	0.117839483133
e	0.760313396	0.060633473	0.0315967318	0.06604652578	0.01513938354	0.04628892496	0.019981506312
k	0.21092419	0.706959298	0.04211912848	0.0190816756	0.00353139315096	0.0100208695496	0.00736349020592
a	0.195183395	0.448646538	0.1233059908	0.0930086018	0.01831407462	0.01160180592	0.109939685966
m	0.06239071012	0.784731812	0.11781727746	0.01908860966	0.0028872391376	0.006876518706	0.0062077773
m	0.03672352776	0.5090731774	0.282955434	0.0347250894	0.010200577048	0.00969292182	0.116629143772
è	0.1320582428	0.529841098	0.14097637	0.02730009828	0.014497566772	0.017879833594	0.137446843854
n	0.11645836184	0.550068274	0.20098584	0.0883283586	0.006635627424	0.0242080782	0.013315550192
i	0.09531473118	0.353037065	0.395455142	0.0750213106	0.01797122736	0.02056117564	0.04263939282
s	0.0036293134224	0.105437374	0.740145716	0.1110203812	0.01322519725	0.01613371491	0.010408401648
t	0.0100428986275	0.0184893563	0.6598481688	0.1032728264	0.0346133102	0.02541747274	0.1483160369
o	0.04773328616	0.0558351496	0.481286476	0.1544528358	0.1468768782	0.0455073742	0.068307956604
g	0.0047705750061	0.025308464466	0.476634834	0.320974228	0.0921123804	0.0354878796	0.044711721
i	0.0101819936406	0.01162126052	0.590185086	0.1517511	0.0609990082	0.0325909988	0.142670540012
a	0.0190917694083	0.0102579010914	0.271521174	0.52054106	0.1096963238	0.02636285184	0.04252901906
r	0.0011778561802	0.00630081101132	0.1654475616	0.60401365	0.1330621369	0.03161178374	0.0583862327
d	0.0124103924892	0.0027170225788	0.17637302568	0.301726226	0.180079207	0.146931792	0.17976229146
ì	0.026927783606	0.01520629687	0.1039209382	0.163520466	0.2086074772	0.221532265	0.2602847836
n	0.0245549139121	0.035119252476	0.08745957526	0.402527976	0.228395528	0.1160165438	0.1059260826
o	0.0355983331751	0.0345902687269	0.159244471734	0.3225964196	0.2175731286	0.13191055596	0.0984867626
s	0.00544966255636	0.00190856261122	0.010688728182	0.2145200896	0.52422866	0.152270592	0.090933562
t	0.00655716442697	0.00642045014096	0.0149078906458	0.0646207296	0.5520627788	0.1522915444	0.203139373289
o	0.011640027438	0.0054469070122	0.01745436744	0.0967091758	0.460494922	0.187540516	0.22071402854
c	0.00239853686489	0.000934760782528	0.0040648590492	0.0480442824	0.3955743666	0.407751404	0.1412318236
ì	0.00485711358745	0.00836676859188	0.0125699258046	0.03798170442	0.387583107	0.2942526988	0.2543888057
p	0.000497171300343	0.00415530260579	0.00411209960316	0.02151295936	0.2610280144	0.497730152	0.210964314
o	0.00649737363201	0.0065763749183	0.00641336688572	0.01635712952	0.2503281528	0.5851247412	0.1287027388
</S>	0.00615514922105	0.00210050601666	0.00363702966605	0.010630829948	0.1057212736	0.489974882	0.381780428
