 	non	vuole	mangiato	mangiato	tutta	una	volta	</S>
e	0.765236682	0.11393435466	0.0128284976024	0.0039761978232	0.005776221372	0.0063899417465	0.0223771100277	0.0694809456665
t	0.321143338	0.524241622	0.01619090698	0.00421945846	0.000852768396	0.00651613607472	0.008981995644	0.117853778567
è	0.033213965248	0.70394068702	0.085060869	0.0463901194	0.0147944639	0.01238968073	0.0964867934674	0.0077233495294
l	0.02128517176	0.957674102	0.011794701	0.00136905856	0.0007593479	0.0010377072796	0.0018342361104	0.0042457047028
i	0.11901339572	0.749111308	0.0456085336	0.00693768346	0.02701146814	0.0057572012414	0.0181139135114	0.028446506256
f	0.013834743308	0.334681667	0.52582869	0.067840669	0.02639588204	0.007924249086	0.0182295747852	0.00526441482
a	0.02617117814	0.1533181012	0.529666964	0.1418676744	0.0622960816	0.04236452044	0.005835614644	0.038479798526
m	0.003274420036	0.106034912608	0.563195398	0.202831932	0.0425962899	0.0252228879	0.027704462728	0.02913970876
è	0.020744187226	0.095144354	0.448385868	0.21522423	0.155545412	0.02495029854	0.00523215373	0.03477361491
n	0.007739086898	0.06025969002	0.490195132	0.320476758	0.0521626798	0.0129104056	0.04127708154	0.01497914876
o	0.0450095871626	0.10259412704	0.333871254	0.3036111184	0.1774689916	0.0121795469	0.00938872926	0.01587663872
o	0.00128714033224	0.0104359191384	0.07030425782	0.4093350148	0.363377616	0.0867116188	0.0231312614	0.03541712608
l	0.0006572941312	0.00336143932315	0.02158388434	0.302983814	0.411786734	0.223151295	0.018829335168	0.017646182848
i	0.00290218681815	0.0029761619326	0.01317063498	0.0903442878	0.610997346	0.0645718052	0.087895564744	0.12714192517
m	0.00177545871688	0.0121853598076	0.008398103194	0.0621365856	0.41970889	0.285134706	0.10496579464	0.1056950632
i	0.00345774275976	0.00534918699086	0.016968151876	0.0588398744	0.63004809	0.1235491554	0.039282475126	0.122505400075
a	0.00136749862733	0.00620713141888	0.00586016297208	0.01582066374	0.1782476178	0.557248406	0.1457106202	0.089537772
f	0.000409707704166	0.00183671345861	0.003745686313	0.01048978302	0.0765277916	0.70988658	0.09282159536	0.1042820714
o	0.0014777453495	0.0036311280668	0.007486233022	0.0127293124	0.29431445	0.273640266	0.2072771984	0.19944365334
r	0.00078076660252	0.0109511858362	0.002082680348	0.00232705938	0.02279262022	0.30989027	0.43013073436	0.2210448024
à	0.00204886677329	0.00488673447378	0.01013224262	0.0095012368	0.056658333	0.262415543	0.329797148	0.3245598368
</S>	0.000231654049706	0.000695693265027	0.0115352436303	0.0447236616734	0.016949034	0.0775460492	0.4598263952	0.3884921612
