 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.890402992	0.0644584943	0.00329809326	0.003473939086	0.001639043002	0.003856780376	0.003409031278	0.0023439993546	0.00506911076	0.002194762728	0.002493600956	0.0024069219566	0.0013866818586	0.001534813822	0.0030311578816	0.0090006475617
k	0.466938868	0.475727419	0.0174339742	0.01104903952	0.001312359548	0.001104797606	0.00098350344212	0.00084473357574	0.00311166883554	0.00984976411764	0.000353119672145	0.000426542927651	0.00310570820251	0.000170593802094	0.000147749411146	0.00744021871534
è	0.187931746	0.328251852	0.108824055	0.211770836304	0.0102527463972	0.01271138444	0.01037243971	0.00750342415	0.045265033084	0.016335389602	0.003060273504	0.002056977113	0.0082283925808	0.00113671655	0.0027750103	0.0435236803492
c	0.0853690764	0.682670972	0.0380769164	0.0918914586	0.003212809844	0.01364663742	0.002154232534	0.002063280626	0.014588302388	0.0249927092538	0.001102507263	0.00128997860746	0.0337391991758	0.00235218906662	0.000686124509132	0.00216366487468
c	0.4259963232	0.4240930163	0.06449693858	0.03831981716	0.004271939718	0.01551390112	0.003532534468	0.0040713867312	0.005330744108	0.0046730894848	0.00068916142832	0.00038597542	0.0027797640124	0.0002404244464	0.000373197476	0.005231826006
i	0.1622550568	0.372321138	0.1011865602	0.16478947372	0.00747616212	0.095537733328	0.0130787726812	0.0088326047867	0.0148500666028	0.0260258177868	0.0103341010366	0.0031242658126	0.0116936128276	0.0015003286766	0.001881230119	0.005113115252
a	0.09453149774	0.446446846	0.3421337297	0.0623462397	0.023754093456	0.0064438702	0.00570815976	0.00481250972	0.005535976016	0.004980214132	0.0013086038708	0.000452925898	0.000924663671	0.0001686251358	0.0001300751776	0.000321766414
a	0.00559783453694	0.201444521748	0.451882122	0.245229232	0.0369279654	0.01015150706	0.009193283824	0.005643205932	0.0046754273428	0.0164672169316	0.00163521189467	0.00117718590336	0.00692605467686	0.000517297428699	0.000341103290838	0.00219089547701
r	0.00125633711054	0.0735012566	0.304085302	0.413050828	0.097670291	0.031807951	0.01289196762	0.0074518658	0.00959640872	0.0282625674317	0.00206699680914	0.00188423861904	0.0122728445969	0.00109059491307	0.000690072017178	0.00242043701386
è	0.006071608044	0.029889094166	0.2489524056	0.3688715027	0.03783753914	0.0791345834	0.02050590688	0.00905153766	0.047355173528	0.04987008584	0.015267832848	0.015017678112	0.029273839128	0.004968556374	0.0084792316934	0.0294535459574
t	0.00979806275559	0.045961251334	0.1568130276	0.529520642	0.0771513812	0.098830752	0.00863718124	0.0058530596	0.01773403938	0.01670508693	0.0028370593868	0.0022756841252	0.0181138827316	0.00273825587006	0.0021694594904	0.0048612446216
i	0.00834672396535	0.025001411352	0.2583576974	0.3631653548	0.0549622782	0.1868846966	0.01244975464	0.0088439294	0.031372164872	0.009854161128	0.005397047496	0.0074956918442	0.004767657716	0.0015202270718	0.0018511063458	0.0197301851719
e	0.00072211063446	0.00386748972006	0.1687117422	0.282006662	0.3368295	0.11146265	0.046430922	0.0190946167	0.01358931308	0.0056858440836	0.0025707225528	0.0020533603412	0.00220494305092	0.0006330345464	0.000637661145	0.00349946664
s	0.000719476812516	0.00296641244614	0.065729006372	0.151726181	0.208438933	0.4265977184	0.0529920954	0.0218279611	0.01145107922	0.030270622604	0.0037456659548	0.0032699546036	0.0141938297185	0.00149048827689	0.00103627234761	0.0035443220512
ò	0.00545188324476	0.00741723480052	0.056425255294	0.10007234264	0.0855165358	0.41086173	0.070066822	0.027358726	0.06658645614	0.04750299518	0.021451947986	0.023996659716	0.03076535044	0.007288718407	0.0119820824432	0.0272552102112
z	0.000135394665634	0.0005329131748	0.004184246836	0.1100855314	0.1459114898	0.66742554	0.0461650932	0.00632883178	0.00399807388	0.00252211708	0.002058694454	0.002053090314	0.00149236833	0.001099049117	0.0014944652952	0.0045131311472
u	0.00362863051276	0.00583335963228	0.041917106196	0.061435582052	0.15059890664	0.463254134	0.1180974814	0.03497185926	0.050125107544	0.00452136888	0.004603806404	0.007707084012	0.002192358702	0.001862670608	0.0115679632254	0.037682684838
n	0.000133556063903	0.000273867452737	0.0034146094426	0.019514186	0.213489075	0.1223226856	0.451173452	0.1412006412	0.02026606766	0.008832293308	0.00838140635	0.00526385562	0.001458415198	0.001089401342	0.000473154071	0.002713344548
f	0.00385475732416	0.00363169659988	0.0072952802854	0.03969725568	0.0726161242	0.242854962	0.2931743652	0.0810524908	0.0708628196	0.0519836378	0.03843118056	0.023148778406	0.02656253348	0.008888972832	0.013517471684	0.022427618674
à	0.00253035239326	0.003696860222	0.007345067054	0.019550499474	0.02391185794	0.30770704	0.149062636	0.0456169906	0.05633499804	0.0747058241	0.03629243712	0.0224797331	0.06535002012	0.02804308952	0.0245291953	0.13284339145
i	0.00034962102458	0.0005962486399	0.003123061818	0.01647461434	0.0630225982	0.4437774888	0.2590098676	0.1087828544	0.02110089104	0.02556062636	0.0129887154	0.008125419732	0.00643405256	0.002792776614	0.01158899134	0.01627225376
o	0.000227254907615	0.000354040246631	0.000607726322774	0.0081550174152	0.0710652867	0.07579310872	0.277027664	0.3778069368	0.1067084068	0.04309285759	0.01594060432	0.007130926636	0.004924157188	0.0021508994216	0.0007582127012	0.008256863692
g	0.000263061324091	0.000813598748794	0.000629876476152	0.0045309691348	0.02225170084	0.0367196855	0.27542062	0.375578562	0.1732348292	0.05505884811	0.0197492754	0.012430726934	0.01238194574	0.0048058512068	0.00235143332	0.003778898828
e	0.0048574197106	0.0037026835691	0.0021290197788	0.008671499982	0.030325560074	0.0679760438	0.178990625	0.2125318234	0.189573318	0.1214167006	0.04777524	0.01372470364	0.0428336765	0.010077003068	0.02310649178	0.042308172038
l	0.00013334205978	0.000272111800732	0.0004185979827	0.002876644314	0.01419936442	0.02443905354	0.2199195334	0.314893976	0.2141112864	0.0855276922	0.0560907708	0.0261606498	0.02291717606	0.00537416972	0.002636578174	0.010029090568
à	0.00369929508888	0.00432402159054	0.0013220305382	0.001689204802	0.002169202388	0.0518175164	0.0678991872	0.0903870832	0.1366674854	0.2310580544	0.116006166	0.055551764	0.0990538178	0.03916376788	0.0603841906	0.038807137904
o	0.000103842999286	0.000192389996399	0.00257570572099	0.0094544027398	0.011814605044	0.1644206649	0.1024237226	0.1010234508	0.23809373106	0.1355064296	0.079409963	0.0539376684	0.0148586386	0.01829044032	0.02300902156	0.04488545992
p	0.000152689535151	0.000216184547895	0.000328451034491	0.00344971313222	0.013224734942	0.0215549369288	0.110968992012	0.2053186562	0.1950176496	0.06788718856	0.2231455146	0.0914900668	0.0172047876	0.01454887466	0.00596502052	0.02952652226
r	0.00543941492116	0.00277156497834	0.000632549077682	0.00057587689988	0.0011347098166	0.00913934076	0.02380787906	0.057569094	0.2644060816	0.234308278	0.1551837047	0.06678130746	0.077211427	0.02827610792	0.03106540546	0.041697164482
ì	0.00188716360644	0.00206817448892	0.001364548542	0.001245795526	0.0017400311	0.01197033666	0.04881504226	0.0639289692	0.07883256148	0.13466011994	0.138187456	0.0992739822	0.0890910135	0.0540219372	0.060151127	0.212761759486
m	0.000157909867693	0.000310645146555	0.00274680582919	0.0224302237098	0.044402756242	0.03762923128	0.0412351146	0.054598114	0.147537788	0.077096062	0.217500666	0.1800469142	0.02644978824	0.0411570092	0.0708812702	0.0358197748
a	0.00298799653062	0.00234032918881	0.00261951863702	0.00486267203768	0.0040391158016	0.03569641722	0.0262854246	0.0654143548	0.1646935542	0.1274252304	0.2341857646	0.119090594	0.0708850976	0.0188262292	0.0601978638	0.06044975778
k	0.000235693179336	0.000228262523526	0.00032786129916	0.00228673071972	0.00789065532254	0.0036784227116	0.04718949615	0.12696183076	0.0451638214	0.07281596626	0.28937066	0.1881218794	0.0526395306	0.075748285	0.02009534692	0.06724573906
a	0.00495928094821	0.00255574528143	0.000871348282835	0.000764928590018	0.0008125110264	0.0048182091888	0.01384528606	0.0192257039	0.1436403094	0.0792418186	0.3136293956	0.1436441816	0.1028762468	0.07470602894	0.0483327071	0.04607652463
n	0.000313218493868	0.000409480362104	0.000548903428469	0.00208399496461	0.0034748154118	0.0036910215199	0.038851303104	0.06587709382	0.02284594184	0.05241815796	0.23586945	0.2468207152	0.07557152352	0.1627902222	0.0443586362	0.04407540848
a	0.00257258267011	0.00331749840261	0.00161509260718	0.00165037228235	0.00073044374474	0.003712175025	0.0074166488896	0.012444843754	0.01558617748	0.0433901824	0.217507626	0.203100988	0.1318261252	0.165869904	0.1298083236	0.059451101313
f	0.000184113630449	0.000214434092519	0.000328124623424	0.00298107080873	0.0042577431916	0.00455216002514	0.035408919936	0.04386815362	0.0139764329	0.0298932312	0.173760256	0.1980071232	0.10948144414	0.22624079	0.093670504	0.0631754608
a	0.00247556776905	0.00289398125299	0.00187148767213	0.00163931787074	0.00134102382482	0.0040019004831	0.0099690764408	0.015026963922	0.01857182184	0.033266292	0.17976421	0.151115028	0.13163243434	0.173242468	0.193977154	0.079211156614
n	0.000257575175758	0.000228221661402	0.000362160128514	0.0033695647866	0.0033628653008	0.00638520605764	0.029922503598	0.0250301669	0.00912448888	0.01776793345	0.132245583	0.1548737516	0.11721109032	0.26801532	0.143294439	0.0885491907
e	0.00211272545022	0.00215812332912	0.00118341738123	0.00071139173522	0.00032420888244	0.0022847997934	0.004379116645	0.00744487458	0.00990356319	0.03309417984	0.1004778946	0.1335380514	0.18268734196	0.213691328	0.2329375232	0.073071576066
p	0.00020302167539	0.000185592127948	0.000315303037776	0.00273264420808	0.0027791987924	0.00532465552975	0.0210319391792	0.015864248794	0.0060762817	0.01351509694	0.0809668368	0.10534603	0.11825410346	0.3052782244	0.2252935634	0.096833177
r	0.00240109731816	0.0023286161498	0.0016491430002	0.000880301674468	0.00077430440976	0.00350238404472	0.009517992475	0.010963012859	0.103233381036	0.03477746481	0.0728796558	0.0832944128	0.1514230236	0.1625531524	0.244005782	0.115816431112
ì	0.00329795472775	0.00345278158577	0.00342126019293	0.00197086818801	0.001035548431	0.0118335061785	0.008198921654	0.01140692042	0.024365617088	0.03983901262	0.0556449788	0.0440311836	0.08059879844	0.0780700156	0.334428842	0.29840372816
m	8.31602613516e-05	0.000124386788894	0.00153065433863	0.0266508040562	0.0660030713197	0.006560053566	0.04327859607	0.019195820848	0.011326662464	0.007755861191	0.0215212444	0.0338078691	0.01735370745	0.0749743952	0.4528128206	0.2170208008
a	0.00162503980352	0.00153264134231	0.0023136074173	0.00754505932983	0.00133635068654	0.0046943475052	0.00346759048	0.005562621745	0.0254938952	0.03816410776	0.0601192464	0.07020011544	0.10884553476	0.15111821	0.3994006814	0.1185810332
n	0.000870272775534	0.000885546890507	0.00248808013625	0.00673731036999	0.0141701980876	0.00842251784176	0.0530411484306	0.026663901655	0.005915151275	0.011303244	0.02823853092	0.0372851132	0.05444814258	0.185485985	0.252879204	0.311165786
a	0.00231630153201	0.0033247135461	0.00227472558405	0.00105640768208	0.000627718091783	0.00449116689536	0.00312685491709	0.00439514758646	0.015897617636	0.023732735746	0.04919175078	0.03976798084	0.083125170212	0.1796551024	0.450530524	0.136486035892
f	0.000254815076465	0.000318238677616	0.000565183729451	0.00371232365314	0.0032674258237	0.00938266205845	0.0339567218142	0.0186013587305	0.00493882841	0.006282189216	0.02620971476	0.0246323848	0.03201546521	0.21733375026	0.321577436	0.296951434
à	0.00283157521185	0.00362414958581	0.00321446677696	0.00169905237764	0.00136184655864	0.00316076026632	0.0029409168165	0.00369354888908	0.0074391805684	0.0125792493548	0.039383492906	0.03264203446	0.04776773836	0.1619259092	0.41904058	0.25669549074
n	5.57207305005e-05	4.99121658025e-05	0.000527314225317	0.018922371913	0.0544150509633	0.00285896128927	0.0519282526177	0.0193129573127	0.0065414934828	0.0081997304168	0.01054498732	0.0153038653	0.011783936746	0.039994213	0.539175449	0.2203857338
e	0.0123517346177	0.00657349836903	0.0104525912538	0.0111922922824	0.00480429209157	0.0180784610162	0.00762001907589	0.00859433602652	0.0109786761772	0.0186878823	0.018084092228	0.0318170598	0.03600913832	0.1106970204	0.57717818	0.1168805944
</S>	0.000679536575291	0.00102427825274	0.00156615873284	0.00924224159105	0.00561096810828	0.0240888873669	0.0230877921931	0.0154039382026	0.002710179412	0.00461281219	0.0077876116	0.011543748	0.014936098748	0.06577992514	0.2301343968	0.581791304
