 	la	donna	vuole	pulire	la	casa	ogni	giorno	per	stare	pulita	</S>
e	0.68223931	0.274808378	0.00743429096	0.003694021872	0.002481464428	0.00614684256	0.0015304717524	0.0019281073156	0.0006789303896	0.0015034522614	0.0023270865928	0.0152276538531
j	0.478397108	0.49580453	0.0216731651	0.000863616326	0.0007211901464	0.0004653752928	0.00032953329566	0.00066499630362	0.000117180996817	9.37099023226e-05	6.5518188346e-05	0.000804073891628
i	0.261727195	0.255514804	0.1715813788	0.110895523	0.03273421643	0.017718637066	0.0076785059932	0.0046543249306	0.00279663453858	0.000735204061212	0.00788616003196	0.126077502911
n	0.1529203882	0.821142834	0.01894411584	0.0019440730308	0.0008526559722	0.00110076082962	0.00033578560004	0.00057871815814	0.000102699480996	0.000146306204318	0.00014968852735	0.00178197910186
è	0.0472783156	0.68417902	0.1727985956	0.0192288882	0.01256714636	0.00899087776	0.009262478898	0.010289691648	0.005843108348	0.0005729422282	0.0014374045972	0.0275516112712
k	0.0485287804	0.8253297	0.0862904724	0.00517820378	0.00377940132	0.00445025903	0.00195535742	0.00407336984	0.0009751655252	0.001228738054	0.0014683345664	0.016742243248
a	0.14608174624	0.641363014	0.152205084	0.0127412275	0.006983042	0.00782091814	0.00503107725	0.00938542162	0.000740666259	0.0015739883791	0.0008340542328	0.0152397200916
t	0.0221334668088	0.3304970798	0.563727166	0.03869403376	0.01319504444	0.014858750074	0.005452437908	0.004735566686	0.0012162767264	0.0005651916536	0.0005648695284	0.0043599497748
è	0.0203450426974	0.07939507	0.588823186	0.0971702886	0.05603625316	0.0317752508	0.0624869318804	0.017544069376	0.014785344211	0.00203648189904	0.0023723135878	0.027229701085
l	0.002412916442	0.0801974186	0.85817671	0.0407078658	0.00680548844	0.00546031166	0.001269262706	0.001332091286	0.0002405106256	0.0002127612392	0.000487900811	0.00269660282
i	0.02489168591	0.05440992406	0.731365336	0.08854929	0.0186433204	0.0206831748	0.0266827858668	0.007166776005	0.00254964182	0.003221310284	0.0029001912632	0.0189366248368
n	0.00061464337468	0.018093672614	0.429020976	0.45520239	0.0455343922	0.03191113652	0.01037401764	0.00515722092	0.001018829906	0.000752463826	0.0005069061534	0.001813330742
a	0.00260788462765	0.004283054694	0.381159758	0.469186752	0.0714033506	0.0339984024	0.00748409431	0.001774870024	0.002755190672	0.0008222595974	0.001825635628	0.0226987015768
p	0.00069313514768	0.00227250795	0.1610575544	0.69289982	0.0904080574	0.03268515336	0.0083760885	0.005491829352	0.001605948804	0.001374674155	0.0003412246466	0.00279411048
u	0.00446048966418	0.005931494667	0.16559585	0.534912774	0.1350345052	0.053625008	0.02361521786	0.008454470532	0.00469633678	0.0052661817152	0.003700570802	0.054706945176
l	0.00060598924266	0.001052649918	0.0406248328	0.717544834	0.16796861	0.0496072294	0.01083500664	0.00681614611	0.001409962924	0.0008600592	0.000396629128	0.00227798423
i	0.00251573579755	0.003425874436	0.05144227026	0.569487038	0.182519747	0.0920799426	0.02061450818	0.00610129894	0.00892832732	0.001807795962	0.014849557044	0.046227977917
z	0.00054628720256	0.000463629866	0.00829891178	0.606232064	0.283653346	0.0721677964	0.01082744426	0.0077323485	0.001713201308	0.00117416906	0.00105770818	0.00613300232
z	0.00229184689082	0.0039681129534	0.02359188404	0.481566904	0.232881877	0.1114590626	0.02765423376	0.01262193524	0.01070754114	0.00223552363	0.007116364528	0.083904737562
è	0.00692308402	0.0295101567	0.05346623866	0.476985122	0.125326166	0.109303101	0.03541831866	0.034792688706	0.02081604424	0.0252186941	0.01653185736	0.065708623636
