 	hai	già	mangiato	</S>
è	0.92276078	0.01102370104	0.0291826458108	0.0370328113238
c	0.8036516	0.0757655302	0.013908343614	0.106674526392
h	0.6648206892	0.1087132862	0.081557016934	0.1449090876
i	0.70062316	0.0857684752	0.0742535674	0.139354845912
g	0.2335074262	0.669928948	0.03875597072	0.0578077951
i	0.0529905244	0.444526775	0.2634414608	0.239041210942
à	0.0521992829	0.72274487	0.111334178	0.1137216874
f	0.08162971823	0.442267556	0.447368416	0.02873433888
a	0.01350620548	0.1992582844	0.752248462	0.03498702388
m	0.005866277974	0.02424550274	0.63519504	0.334693276
è	0.010014785556	0.0349836326	0.77441153	0.180590028832
n	0.004954235554	0.02162717744	0.79174271	0.1816759246
a	0.0104587816091	0.01643238088	0.92762428	0.0454845418
</S>	0.000618344853	0.00101890073	0.15458016	0.843782532
