 	le	ragazze	vogliono	guardate	</S>
t	0.907705652	0.01187470998	0.00596112116	0.010832952084	0.0636255543825
a	0.892271292	0.04382428668	0.0242785064	0.006122155558	0.033503814324
k	0.702649052	0.24676222	0.0409420946	0.00154396220612	0.008102749626
o	0.3521648832	0.3042088022	0.113083397	0.071517357388	0.159025638756
r	0.3023821456	0.664188798	0.02138205508	0.002606044764	0.00944092444
à	0.2253951036	0.390031237	0.1455186412	0.0971485498	0.1419065468
s	0.06873733924	0.610565406	0.14874216	0.0382895254	0.1336655896
i	0.1652676532	0.3218747788	0.354743324	0.0348627876	0.1232514538
a	0.013375180918	0.59934855	0.32019953	0.0216125677	0.04546415672
t	0.00116190094	0.0792008046	0.87292645	0.02539279112	0.02131810484
è	0.013238515736	0.0173816003	0.648292942	0.14288616474	0.17820076847
l	0.000511863508	0.0268515301	0.902533906	0.0293536978	0.04074904036
o	0.009975230936	0.01372020204	0.673113386	0.1200138401	0.183177365224
n	0.002871036528	0.01188949066	0.306310228	0.617464552	0.0614646173
e	0.00653348282756	0.004783080254	0.2436586176	0.612524844	0.132500051012
k	0.00804256896828	0.008026932914	0.0879305332	0.79623166	0.0997682732
a	0.014634385741	0.006337013582	0.0303287038	0.739495102	0.20920494736
n	0.00748889544584	0.0075280637608	0.03235663936	0.782543428	0.170083086
o	0.0380991347513	0.0031701154596	0.01602189342	0.824266038	0.11844285278
n	0.001710020234	0.00379774821	0.012355796948	0.743236622	0.23889966
i	0.0230126342523	0.002627513992	0.010419491774	0.821877166	0.1420632246
m	0.0008208051046	0.0029056394346	0.007468537606	0.609922076	0.378883078
m	0.0030798528994	0.003203632934	0.004122371512	0.700066584	0.28952755484
è	0.0155120034587	0.00807677391	0.01126122843	0.471095576	0.494054324544
n	0.0231142553174	0.0072855380796	0.00649630665	0.374281704	0.5888222044
a	0.0627868533263	0.020549380938	0.02033916352	0.3916839692	0.50464056
</S>	0.00675716138714	0.0082681684616	0.009634145328	0.205239192	0.770101284
