 	stava	ancora	cucinando	</S>
ì	0.915019686	0.0032587016	0.031414820144	0.0503068154501
s	0.941625692	0.003390911366	0.00577252765766	0.0492109201642
t	0.834222744	0.02628719312	0.052080982966	0.087409113805
i	0.84941645	0.02548369632	0.010532450852	0.114567324318
g	0.591612046	0.363459082	0.0185485721	0.02638035832
g	0.2611350407	0.269139837	0.3392068038	0.130518285106
h	0.669943426	0.0651316744	0.0215842993	0.243340658732
e	0.388750478	0.10884016	0.07728441474	0.425124929432
a	0.03492155558	0.769550706	0.08871758296	0.10681024842
n	0.00632559245	0.5504315834	0.3216613272	0.1215814614
k	0.008816110106	0.38906200642	0.37492392604	0.22719803149
ò	0.2326915358	0.2084442486	0.07769337425	0.48117081029
r	0.21086585592	0.2008868612	0.0853012144	0.502946132
a	0.092212466252	0.395854584	0.453740698	0.058192214
m	0.109136661126	0.07798443484	0.680787396	0.1320914226
a	0.0117978653378	0.1786311604	0.631908988	0.17766180584
r	0.123021495756	0.014111025	0.569152342	0.293715126
è	0.0612986424171	0.12761949888	0.531618147	0.27946369044
o	0.00552323893616	0.053027314568	0.645009964	0.296439394
n	0.0043855855348	0.008333067914	0.637230598	0.350050768
t	0.116795108494	0.077133548666	0.381511208	0.4245601425
a	0.0689865944656	0.095989154264	0.521615116	0.31340910988
</S>	0.0083936921868	0.011857373904	0.255383286	0.724365728
