 	non	mangiare	la	sera	</S>
m	0.73607954	0.0492852142	0.01468997478	0.02052410547	0.17942134299
i	0.340185751	0.349714174	0.11819204295	0.0558503258	0.136057806221
f	0.204926754	0.756785364	0.021065309	0.011711560166	0.005511026618
a	0.042038296608	0.68724761	0.1306226966	0.0990070446	0.04108435933
i	0.01953933094	0.686282146	0.2357910372	0.03510126228	0.02328629048
o	0.00425557266	0.279890334	0.660218994	0.042795986	0.012839112114
v	0.006908397078	0.09363214946	0.573537236	0.3060027876	0.019919447418
r	0.021736980332	0.0715276449	0.44282022	0.3930617294	0.07085354466
à	0.00584568596	0.0450944916	0.287293244	0.313050406	0.348716068876
i	0.019824567916	0.09176958334	0.188505458	0.5556651808	0.1442352772
</S>	0.0046398559048	0.011326453097	0.2764185864	0.608411698	0.099203402772
