 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.855255284	0.0464894979406	0.010422846858	0.007143529968	0.0069895605872	0.0053621229708	0.0029706879666	0.0653666591266
s	0.903656356	0.06384996774	0.013599617562	0.0079458937646	0.0019145450688	0.00631132956055	0.000490875887187	0.00223136957919
ò	0.735068516	0.02781306282	0.07135886946	0.04605036052	0.0539004565	0.0018875434268	0.0125501307284	0.0513709650094
z	0.83210495	0.1555234584	0.0077102934	0.001046264426	0.001645744242	0.0002686322966	0.00024186907896	0.0014586812732
i	0.592384484	0.2485151838	0.1068318282	0.01213860382	0.01728579506	0.001216237576	0.002801160226	0.0188267684476
m	0.0324590218	0.61076964	0.329906356	0.0202727022	0.00493680066	0.0010860736252	0.00022424415888	0.000345136172
i	0.0259558315	0.1287157368	0.62043674	0.0876266436	0.05725123886	0.01638950756	0.022763809768	0.0408603883282
m	0.01945540328	0.2044225034	0.695205932	0.0639979606	0.0099036633	0.00250863594	0.0012279683234	0.003278012128
i	0.008061967816	0.0471592728	0.73721783	0.1080788124	0.0394619656	0.00691538838	0.01619849576	0.0369063802392
l	0.0091244926992	0.03785383854	0.704662286	0.199721033	0.032108611	0.008115752564	0.0026577447504	0.005756242092
ì	0.0122605955596	0.03062208016	0.386932636	0.275533354	0.0945687782	0.0240853538	0.061571753	0.114425439344
s	0.009151940576	0.02690457598	0.465111992	0.3080418308	0.13532597198	0.02549434412	0.00853820087	0.02143120346
i	0.0207308021354	0.02576401146	0.385438032	0.357521876	0.102059308	0.02287441034	0.0354142196	0.05019720818
a	0.0003599380736	0.001313064832	0.0587104346	0.656621188	0.2000381556	0.0735123842	0.00289963978	0.00654512864
t	0.0008691973254	0.001596180528	0.01326613714	0.42424027	0.446066216	0.0740367774	0.015819675838	0.02410560284
s	0.002427469423	0.002054920502	0.0259094294	0.1294413912	0.595575108	0.11855430574	0.0443917936	0.081645588098
è	0.00213129404	0.005716274664	0.05826075092	0.0751993836	0.34227685844	0.07489565848	0.149495994	0.292023857643
t	0.0049863091144	0.009423992948	0.052946944	0.1231387028	0.529591694	0.17837002186	0.04615587416	0.0553865302
ù	0.00615654252362	0.0072236022898	0.02040352468	0.1255819124	0.506200128	0.1221800212	0.1108072468	0.10144710386
o	0.00178342131845	0.004075593527	0.0097523679	0.0689052069	0.510851584	0.237119168	0.05806180366	0.10945083972
m	0.00091983351808	0.00131816089786	0.00360871715	0.01326214392	0.1395397226	0.66625718	0.0944200568	0.08067417094
e	0.00389652820838	0.00737287357074	0.008901801436	0.01117887828	0.2693864698	0.34471887	0.191699302	0.162845184806
t	0.00402252729121	0.000773780368	0.0068944175408	0.003314935128	0.03175473132	0.5107438304	0.315622916	0.12687275366
i	0.00378538052394	0.00179977354	0.002932455849	0.003186765148	0.04296704866	0.1806030212	0.515463236	0.249262157518
n	0.00163600110306	0.00058711970802	0.0053498440538	0.001484655264	0.0075797645	0.302926224	0.46493902	0.2154974848
A	0.00246938043284	0.00091145277861	0.0026173736752	0.0019387364606	0.0157747889	0.1022477496	0.653710992	0.220329436548
n	0.00211971527499	0.00037229086276	0.0024389808252	0.0075611068	0.08630774844	0.09787879936	0.675124628	0.1281965322
n	0.000982189568256	0.000752435249781	0.0019543406299	0.001113698498	0.006917550276	0.0457782466	0.834951518	0.1075500708
a	0.0248513575724	0.01938317018	0.01148593714	0.01159570392	0.02197660474	0.0387558744	0.66258234	0.20936908862
</S>	0.0007069921586	0.00084398675398	0.0032624304832	0.0011059174706	0.0025597941	0.03854110078	0.350785076	0.602194646
