 	viene	fabbricato	</S>
è	0.6722596234	0.15999892932	0.167741434157
r	0.616895886	0.273172865107	0.109931265892
k	0.3610766484	0.508638138	0.1302852396
e	0.26609339394	0.4172445018	0.316661943116
t	0.2884659514	0.52032935	0.19120468576
e	0.0908226868	0.584992854	0.32418436543
f	0.10769992616	0.752974822	0.1393253266
a	0.06021707078	0.678272096	0.26151093469
b	0.016119	0.582792378	0.401088552
b	0.01002674532	0.603455552	0.38651767995
r	0.06361236124	0.313929648	0.62245780068
i	0.169102123	0.396539448	0.43435848
k	0.007533040786	0.445927822	0.546539052
à	0.00579705078	0.705063946	0.2891390216
t	0.0233636221	0.751921074	0.224715256
o	0.008334228732	0.58644546	0.405220274
</S>	0.003273138226	0.0938938918	0.902832888
