 	sul	muro	vuole	uno	specchio	</S>
s	0.698308944	0.1250107678	0.00832739968	0.0115841428	0.0366049547194	0.120163808007
t	0.765913438	0.0623975594	0.02317951724	0.0266858491	0.026320205624	0.095503500904
o	0.867647196	0.04872741088	0.01630799186	0.02209239912	0.01312033434	0.0321048115862
t	0.62905919	0.25329183514	0.03424336134	0.0484735528221	0.00436977893398	0.0305621892943
ì	0.058386092202	0.6799432062	0.03878404754	0.01655236292	0.16202406776	0.0443101757607
c	0.007817553122	0.93594098	0.0419342108	0.0038206475366	0.0020040707666	0.0084824909434
h	0.07673431912	0.634415318	0.231455587	0.015972328546	0.006763221502	0.034659190166
o	0.35636782358	0.397784084	0.2082616814	0.0022988047198	0.017023121206	0.0182645701552
t	0.058864661368	0.0400745244	0.80876254	0.04776041512	0.018503474452	0.02603449284
è	0.0192536918231	0.06630756062	0.4826589816	0.1032613919	0.19167170808	0.136846474733
l	0.0024771644112	0.04642426734	0.73534066	0.05041963	0.05311863934	0.1122198032
i	0.048692346378	0.040192213232	0.704401298	0.0604372374	0.04108840356	0.10518842425
o	0.00320843706876	0.0036384511952	0.2534481266	0.518047341	0.08430734274	0.137350255
j	0.000263579601395	0.000630290939646	0.01410461118	0.794264744	0.1019053516	0.088831370454
a	0.0136400133181	0.005803883428	0.0262520018	0.5811445706	0.2521616596	0.120997846452
l	0.00147806768617	0.0022955932418	0.02747702382	0.42956443	0.3163490124	0.2228359646
ì	0.00468470960384	0.0055049336496	0.00759654488	0.321631914	0.46294190068	0.197640078152
</S>	0.000259368026957	0.0018814342004	0.04386589374	0.1182191904	0.347252066	0.48852198
