 	che	non	li	aspettiamo	</S>
n	0.6808194282	0.00585301676	0.004980204394	0.0784170282116	0.229930423372
a	0.91121689	0.030438344	0.03399886676	0.0092058083028	0.0151400257446
m	0.281298686	0.5069062786	0.1028764156	0.0231171807372	0.08580139158
i	0.13630993514	0.1291778924	0.402057394	0.279249547005	0.0532052303691
t	0.0620182077	0.2890483774	0.3928188148	0.1373752844	0.11873934082
u	0.0907252693	0.1292781076	0.468939208	0.200863878044	0.110193470228
s	0.01019772242	0.0729351532	0.640067316	0.1605759806	0.116223912
m	0.0471266712	0.03531452428	0.4377564486	0.347532925378	0.132269350676
ì	0.0256184494	0.03223713288	0.3780335186	0.398679771286	0.165431072138
n	0.050346076612	0.1229061511	0.4280324988	0.314545474	0.0841697338
o	0.089351270648	0.0782823821	0.5255376234	0.25811442	0.048714318
m	0.0022018399322	0.006143785394	0.1287550256	0.469334018	0.393565231
e	0.019926300622	0.01134266854	0.3276368594	0.389897091736	0.251196973325
</S>	0.0008552058472	0.004559619248	0.02257877458	0.3544822938	0.617524094
