 	avete	fatto	già	le	verdure	</S>
i	0.921042632	0.048760912	0.003908953032	0.001984292534	0.003400336982	0.0209028667097
k	0.78132858	0.20032765	0.009355483678	0.0017351270664	0.000799040024989	0.00645399479692
à	0.12031229518	0.211451572	0.1758801794	0.0968658584	0.306589897026	0.088900316342
m	0.283605466	0.671996282	0.03320113374	0.002127259648	0.00414701705	0.004922807494
a	0.1486245944	0.61069487	0.1131672176	0.003191723944	0.078521477268	0.045800088186
t	0.08724146396	0.4765303932	0.409336418	0.01982986294	0.002311464526	0.004750391394
o	0.02795309135	0.187923756	0.521702658	0.0473822776	0.11484811714	0.100190197921
g	0.02070552664	0.07887381972	0.619488058	0.2432097166	0.0069506863	0.030772113432
i	0.0036530328548	0.0145725636	0.467520636	0.1280117104	0.319225892	0.067016217352
à	0.051254187482	0.02935108942	0.457986459	0.3852460344	0.01105391904	0.065108302228
t	0.0685125392122	0.061205132612	0.323622643	0.418113608	0.08605524104	0.04249105866
a	0.00355662997	0.014401052672	0.1610016494	0.413181848	0.31724183008	0.09061689558
l	0.0061527151968	0.0028885721996	0.02450827584	0.684897886	0.17743620494	0.10411635252
à	0.00064444736594	0.002138821863	0.00979606964	0.18085211	0.739893394	0.066675116636
c	0.0031218007822	0.0088115645546	0.03014338346	0.385309884	0.215602438	0.3570110548
h	0.0047353302	0.009274981168	0.102450928506	0.2442774054	0.545423605	0.09383773009
a	0.004788403704	0.00390588618	0.0188593819	0.1267342574	0.73464984	0.111062243536
n	0.00723163154956	0.0025790947192	0.003773552368	0.12026637594	0.527390066	0.3387592034
a	0.00279087351335	0.00523799517651	0.0061028790474	0.01536112024	0.789058448	0.181448696456
</S>	0.00515766024	0.0022725035112	0.002257514916	0.02787256152	0.2279850028	0.734454816
