 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
z	0.874084974	0.048315691888	0.017363950126	0.00869953851	0.005441093023	0.002789557384	0.0018198335228	0.0010931556126	0.0050355369	0.0353567263367
ì	0.734070406	0.1392924194	0.048408712794	0.0227344400096	0.00426128329	0.00226824488	0.004341575956	0.0006205361358	0.001884449874	0.0421178890681
s	0.513618934	0.4320247056	0.031174387846	0.005531383434	0.002520780882	0.0047327007246	0.002834041922	0.0006198565434	0.0005512021286	0.00639213857298
o	0.27691232	0.500282496	0.0841566184	0.03989016576	0.013989132	0.015517509592	0.00697485333	0.003202586578	0.003545232876	0.05552897737
n	0.02502188668	0.680437564	0.271480002	0.0113411673	0.00433524842	0.00333848206718	0.00195588016748	0.000152659279994	0.0001470973364	0.00179002467302
t	0.0205713436	0.510537726	0.369940456	0.01652017712	0.01219851458	0.009596669624	0.003326753734	0.002908727988	0.007954181366	0.046445469442
a	0.0264754952	0.657695754	0.1997376808	0.03576935428	0.01723806094	0.017317988632	0.0121514460948	0.0041039116432	0.00892096168	0.0205894012808
e	0.00261947753	0.251206536	0.688887544	0.0339081084	0.00991057766	0.0055566247576	0.0046441860068	0.0003839130175	0.000555789382	0.002327224192
k	0.00082936349	0.0168671252	0.63157828	0.315558484	0.01798092912	0.004172768937	0.0074515396076	0.0003525332797	0.00066147139514	0.0045474941176
i	0.021508852063	0.13082821286	0.442784286	0.2215240956	0.03418158508	0.02284028556	0.01097370954	0.007699100356	0.03972486367	0.06793500603
a	0.0023249797074	0.0119347084	0.480061384	0.42992408	0.05366437194	0.010657140348	0.0046684226966	0.0007893207682	0.002369478656	0.003606214324
t	0.00080002232488	0.003065934816	0.205995577	0.665720506	0.0876201544	0.0107920070304	0.0107204928398	0.0012943646567	0.0041972040266	0.0097936868392
è	0.033038404834	0.0682860707	0.0751559696	0.2336055348	0.273357356	0.1017182998	0.02002821472	0.02208487896	0.06970974728	0.103015619292
r	0.0178443425029	0.005106660912	0.073971359	0.437704852	0.2966049376	0.0878691167	0.020748058278	0.004498757844	0.012656971528	0.042995181544
a	0.00748751721745	0.01218733298	0.1043787984	0.453975728	0.245437955	0.0414673038	0.01028258308	0.00468785687	0.054636384632	0.065458444105
m	0.0001272460495	0.0007014821228	0.00948941682	0.31062105	0.53550299	0.0754221606	0.04837066504	0.00277165292	0.00852452028	0.00846887374
u	0.00524111510299	0.0126422493722	0.030198029092	0.1748797288	0.448302328	0.1506785398	0.06340083534	0.02651010178	0.0569629952	0.031184124914
i	0.00110132237427	0.00170046302668	0.003628587362	0.1111156132	0.626542744	0.2009771304	0.02883112762	0.003450199942	0.00473487812	0.01791801102
n	0.000392765160594	0.00150982045586	0.004454775185	0.0521945844	0.557781466	0.2671378038	0.0864460263	0.006187509262	0.014702834062	0.00919246874
ì	0.0050830448151	0.005141206856	0.004171716232	0.01442001604	0.244962748	0.51093418	0.039160085	0.021746691	0.064947388	0.089433162508
c	0.00351803091199	0.00060508585834	0.001474874752	0.01134218126	0.197832097	0.622515726	0.0875720164	0.020277426	0.017223901647	0.037638632408
h	0.00379038641657	0.00228830515196	0.005866273312	0.0733989012	0.2506320488	0.418339086	0.0919679924	0.01570406484	0.065146685374	0.072866219701
a	0.00428284453474	0.004961550804	0.011575532426	0.0306390846	0.1207168868	0.598738362	0.0495581901	0.01655503924	0.10707202774	0.05590065975
p	0.00074452103657	0.00144128370562	0.0015539391587	0.0073275418948	0.05274319754	0.4033473636	0.436772498	0.0615767854	0.00596337224	0.0285295474
à	0.0111377638185	0.0123390287619	0.0149506091093	0.05379820312	0.0392998522	0.26706873	0.338618876	0.104153452	0.09252305466	0.0661105006176
r	0.00108715690156	0.000437875219327	0.000983950582	0.027337429628	0.03280755452	0.283433374	0.455886447	0.1394161188	0.01989105572	0.03871909943
o	0.0059836621421	0.00654627431572	0.0097805110088	0.022789429043	0.03187903064	0.190988378	0.4533957074	0.0960656938	0.0805862835	0.101984881586
n	0.000453325196697	0.000928376364769	0.00072241169424	0.00359638824222	0.007626956701	0.024610035	0.397079914	0.379591442	0.1194567212	0.0659343608
t	0.00260262632523	0.005937387684	0.00724962368855	0.0106125400195	0.008988035706	0.1287385196	0.396958294	0.2148572926	0.1171648876	0.106890828526
a	0.00329850478012	0.00525695792341	0.004472211884	0.00263018748	0.0173018006	0.0945476718	0.194817027	0.287559756	0.113824246	0.276291725714
s	0.000490585227231	0.0011420325254	0.00118950267014	0.002262856878	0.0022180431538	0.009990684432	0.1558971533	0.469495256	0.24186527214	0.115448491
t	0.00270139627947	0.00352505084768	0.00305719673061	0.00290780297266	0.0065926887484	0.046278738	0.1345250296	0.364392828	0.247003878	0.189015417594
i	0.00134239123403	0.00199197813619	0.0013389055302	0.0004537315106	0.007392314184	0.0421280418	0.0636334822	0.294672844	0.196504432	0.390541864428
n	0.000418886606068	0.00140521122807	0.00177738660357	0.00251772910276	0.0018752151934	0.004410206794	0.0493820174	0.42301092	0.3672297669	0.1479724492
a	0.00107885003669	0.00160778897596	0.00136133220029	0.00129673996901	0.003750802932	0.027549927034	0.0739694988	0.351072148	0.355617722	0.182695103514
g	0.000640865621541	0.000874834917808	0.000313615705934	0.00038314104916	0.0011589192538	0.006815443026	0.01066689564	0.434304942	0.40181145984	0.1430299386
l	0.00177218680276	0.00205451401767	0.00218743404189	0.0018130775442	0.00234481205348	0.016463623424	0.076561614074	0.2992540952	0.440214543	0.157334054432
i	0.000289838045119	0.00158710253777	0.0009004950855	0.00041285148	0.002747862658	0.0160555033	0.016059084092	0.310862432	0.251906001	0.39917893057
s	0.00061719261604	0.00048477863378	0.00026949272376	0.00043706823082	0.0005418042388	0.0032439671928	0.00295086046	0.2780437576	0.47841950014	0.2349917438
ì	0.00219673870428	0.0021095091696	0.00250115150249	0.00279400615628	0.0031952622458	0.008787463508	0.016946238972	0.19596435928	0.484323614	0.28118179414
a	0.000774687309795	0.00024081930154	0.000407625875285	0.0304039041371	0.0110529480603	0.00545243632	0.028242607334	0.13301634644	0.60876087	0.1816477
</S>	0.000989005574324	0.000595876252154	0.00034346875218	0.00047485309394	0.001073728714	0.0051829674164	0.00145195616	0.1374757544	0.466826798	0.385585622
