 	forse	sono	usciti	</S>
f	0.86480926	0.03529550304	0.04370676914	0.056188392622
ò	0.820211786	0.1427849218	0.01668114052	0.0203222358499
r	0.705563548	0.231418918	0.04944310754	0.013574461114
s	0.348826682	0.38736215942	0.224059318478	0.0397519295664
i	0.2675683644	0.2213815998	0.2137149572	0.297334981096
e	0.159976659	0.630171476	0.10775368756	0.1020981878
g	0.0685495924	0.568439696	0.1938050374	0.1692056058
g	0.064802150948	0.3117478942	0.487563602	0.135886428772
u	0.21738362784	0.179608787	0.1888893228	0.41411831506
ì	0.065008119568	0.134567952	0.233584542	0.56683943
k	0.088580016756	0.327288424	0.399272766	0.18485868
a	0.006931136654	0.11233025168	0.817986578	0.0627521198
n	0.02539309077	0.115251401765	0.208938426	0.650417102
e	0.04751494457	0.0611241037	0.555181628	0.3361794584
</S>	0.01547534078	0.0193405326	0.0584939069	0.906690208
