 	voi	avete	mai	mangiato	il	pasticciotto	</S>
e	0.93054238	0.01503438588	0.0016818204276	0.001482574629	0.0030797981932	0.0074163752	0.0407627725896
s	0.85167898	0.11849124	0.007629865794	0.007631306488	0.0043294412692	0.00109280674211	0.0091464157098
ì	0.612496413	0.1545951166	0.0518897004	0.08476778714	0.0108697727	0.010332233252	0.07504889232
ì	0.2580986546	0.67088708	0.0314218949	0.012107871184	0.00435038528	0.0014004957436	0.021733648144
s	0.08863219764	0.687580852	0.128099376	0.03627724486	0.010196208982	0.0197310925621	0.0294831319698
e	0.2200294944	0.573200958	0.0940307688	0.03068916038	0.00580800518	0.00937232563	0.066869313758
s	0.001823838752	0.288116958	0.63557231	0.0602341872	0.01057487656	0.00162199141	0.00205599674
t	0.0679454767254	0.0755325588	0.3549958908	0.343941068	0.0248544104	0.02533620114	0.10739427852
a	0.1820756294	0.0965947915	0.2133691308	0.1301300882	0.11337703054	0.0792587498	0.185194547676
f	0.002795039414	0.0330773128	0.527517602	0.25757325	0.0741969806	0.0500756918	0.05476408466
a	0.0342537754678	0.02333613364	0.1463651766	0.556434496	0.0746541652	0.0420822062	0.122873995492
m	0.0051288156864	0.0129115252	0.2604782218	0.357567804	0.1974185	0.0695209538	0.0969741832
è	0.016052348216	0.02516370188	0.15889419366	0.453728056	0.1479608022	0.0516452542	0.146555647106
n	0.0039845639248	0.0250915378	0.081884252	0.399595568	0.225008754	0.15618671208	0.108248423
a	0.055380184002	0.058744930596	0.0942103912	0.366397806	0.2142267748	0.08750846534	0.123531382
m	0.00294222723024	0.002448451951	0.020428954092	0.09822515346	0.500483252	0.2520727752	0.1233991625
a	0.0194240446867	0.0137399867846	0.01769735987	0.138664247	0.343339536	0.314940968	0.1521937875
i	0.0086470921434	0.002785022837	0.004735662476	0.0353377976	0.368135824	0.471298856	0.1090598276
i	0.00027022350902	0.001428259976	0.00201924388	0.01925693118	0.27322141	0.6116827	0.0921212102
l	0.0001815786576	0.0016252644312	0.00149612532	0.00512934522	0.252581726	0.679401378	0.05958459352
p	0.034299102506	0.0008967592048	0.000921495086	0.00837639398	0.10170712	0.7732688	0.0805304182
a	0.0200924092105	0.001989822682	0.0027414806326	0.012246207308	0.06236736152	0.480044482	0.42051818532
s	0.00387684209396	0.001398621958	0.002629386924	0.0035575828058	0.035348319246	0.400992054	0.552197346
t	0.00606751501973	0.00158881637471	0.00143142119772	0.006036391541	0.03346252904	0.719363756	0.23204949752
i	0.00490203960384	0.002318471695	0.0025799055518	0.0157401145546	0.0710417585	0.382168518	0.52124917312
c	0.0015443668104	0.00212828093125	0.00247698142494	0.0039249717638	0.033037007786	0.317726094	0.639162168
c	0.0018321233494	0.0027619233208	0.001783830572	0.003882984034	0.02789722714	0.688110386	0.2737315422
i	0.008349272661	0.004251968436	0.0032228151026	0.0143406254385	0.08953222384	0.369099312	0.51120385558
ò	0.007374479353	0.0069658689162	0.0060341825936	0.027385276104	0.07712220988	0.322953863	0.552164298
t	0.00084852724552	0.00909333810792	0.0048086757476	0.023060470905	0.01803402304	0.423680019	0.520474972
t	0.0034443751692	0.0070221917198	0.0150363070792	0.0348680456172	0.0493657355	0.564222288	0.326041176
o	0.0370511235826	0.0048546640215	0.0044628816528	0.0259742387806	0.01549226837	0.230343803	0.681820916
</S>	0.0050178459862	0.00529749392034	0.00337576282448	0.0056661437732	0.016345814535	0.152638358	0.811658618
