 	l	ha	scritta	</S>
t	0.824064512	0.0400594106	0.063480109472	0.0723959408725
o	0.85440635	0.0839259704	0.01615486788	0.0455128070826
è	0.333575406	0.649862085	0.007874691972	0.00868776074
g	0.019959117532	0.843511568	0.126082717495	0.010446588304
r	0.0412507708	0.335863754	0.46994505	0.152940353728
a	0.109524867	0.261309426	0.3908841588	0.238281493366
t	0.082688529744	0.29304001074	0.406738944	0.2175325536
s	0.02252462022	0.0805096334	0.584753538	0.312212228784
e	0.0392605813	0.0390300616	0.51114974	0.410559579202
</S>	0.0032665670568	0.00952838808	0.551154486	0.4360505616
