 	lui	sapeva	che	oggi	fa	freddo	fa	freddo	e	non	ha	fatto	il	bagno	</S>
c	0.7472727	0.190767880732	0.008808093536	0.0114796443996	0.0027446832934	0.0026504089044	0.0037719810524	0.003017359652	0.004530810889	0.006047597636	0.0019527784776	0.0008257844314	0.0015169985006	0.00459735265108	0.0100157447415
ì	0.891881604	0.054969531	0.007455287357	0.0276827131102	0.00381762914239	0.00239238782735	0.00174568614347	0.000792114489052	0.000841287691962	0.00035844013191	0.000482607166235	0.000733049957748	0.000535609774484	0.000579871032104	0.00573222158201
n	0.848714406	0.1446709768	0.000654027902	0.004816938144	0.0005045509484	0.000107555773	0.0001104518998	4.176691814e-05	3.899381918e-05	1.980621928e-05	1.326986076e-05	4.31575686e-06	5.11172448e-06	9.60449579e-05	0.0002018356591
o	0.601349564	0.261359794	0.004963591526	0.027655113794	0.0063745105056	0.0205686753706	0.0045456994068	0.0159579879732	0.00974133762	0.0034813555208	0.0042046781952	0.0013200497132	0.00137460107398	0.00265418898	0.034448814474
ì	0.308303885	0.629143108	0.0436130554	0.0111073077	0.004359006624	0.0004785735527	0.001336945776	0.000112986184392	0.0004857505262	0.000404771518914	0.00014970877182	0.000110236133075	7.19687036e-05	0.00010477509914	0.00021783330752
t	0.11412799924	0.686342554	0.0880890682	0.03984852954	0.00747075692	0.00491564380472	0.002932013773	0.0034398355128	0.00228478546294	0.00234471118246	0.00216797974778	0.00075035051632	0.00384525269101	0.0182156474962	0.0232248394275
s	0.05693179988	0.5650685328	0.1411261972	0.097360286	0.01494339654	0.015879973586	0.007408360184	0.009854181672	0.0082997504204	0.0047168684452	0.0054195626918	0.0020150444545	0.00286182906772	0.0032113813686	0.0649027860152
e	0.1138705177	0.405690842	0.110269774	0.1281021276	0.0324301262	0.06208195038	0.02594389174	0.0320562881	0.01712926142	0.00365157911	0.01287400028	0.01388408296	0.00892745682	0.014606961814	0.018480962106
r	0.00331706768	0.3311820178	0.488993465	0.139824368	0.02640438516	0.0022505910554	0.004188251688	0.0004697989348	0.001616073642	0.000527315491	0.000236523259	0.000289421810066	0.000147193735	0.0001795456778	0.0003739484546
e	0.0176231279116	0.0826848396	0.309389003	0.239232758	0.0908871946	0.06341546032	0.0342130732	0.0320179682	0.015146177712	0.0228444779848	0.032973449812	0.00661386356	0.003407906252	0.0108444265	0.038706472086
k	0.0013520487208	0.04199870896	0.5722393	0.3095813108	0.0571241554	0.003874967462	0.00599894976	0.0008078219436	0.0029043876054	0.0014532893234	0.00068323789	0.00066700527222	0.0002393854388	0.000352371038	0.0007230274872
a	0.00975999201474	0.0363679666	0.454647378	0.25565749	0.092875863	0.038450013	0.020288059	0.01524028732	0.00884691448	0.00337917809	0.006305639028	0.005665116192	0.002900921494	0.00402244688	0.0455926029066
s	0.0015701472851	0.0094738851	0.4115599452	0.374566494	0.163113948	0.00722519731	0.01258625452	0.0012996635726	0.009065806355	0.004519933292	0.001631408515	0.00152897761924	0.0003104769034	0.000379934692	0.001167903916
ì	0.0074677112342	0.01091438914	0.20659843666	0.277569892	0.27065558	0.0747865144	0.0351628204	0.02171117732	0.01008995334	0.014369876762	0.02343559036	0.009751548168	0.003681925476	0.00616981414	0.027634758708
m	0.00150597618904	0.01062913928	0.0541224266	0.564615354	0.313817116	0.0210248807	0.00915254106	0.0054976885	0.00255385124	0.00255288562	0.00227719806	0.00059544723	0.0011466549818	0.006543251674	0.00396550786
m	0.00748024910018	0.015632055908	0.1092531054	0.51609002	0.1831438544	0.0362477154	0.00911759548	0.020925089826	0.018990406364	0.0019977292382	0.0077931484376	0.001724098881	0.002824503862	0.012193240906	0.0565871711576
e	0.038003281952	0.055035206	0.0839353464	0.3363595844	0.1314094032	0.1314853722	0.00997043354	0.082570594308	0.022271503174	0.002104118346	0.007786829826	0.00736421135	0.007791093218	0.02665066488	0.057262242466
r	0.00128005657454	0.0054755761652	0.01647566916	0.2973556568	0.453865052	0.080491333	0.067548625	0.009140875792	0.04267026423	0.01396917906	0.004702931702	0.0025901120052	0.0018319085288	0.00106325538	0.001539365723
