 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a	0.85922767	0.0709832974	0.01875876114	0.004881723928	0.003663767288	0.0035764518372	0.001918577852	0.0019987366644	0.0009501134884	0.0032986703332	0.0307422677917
n	0.569045925	0.1988668744	0.01103567292	0.00617217954	0.030488638888	0.003677180386	0.0006916073049	0.0002453254491	0.000254952352022	0.00446952485556	0.175052119713
ì	0.034155389512	0.659735382	0.152976386	0.07004035168	0.04151274149	0.007806350124	0.00274645	0.001574768868	0.001127511202	0.002995030324	0.0253296295772
c	0.0050761785514	0.92735949	0.04968487596	0.003034987892	0.0019680258316	0.002714655331	0.004489148766	0.0008150074202	0.00035225102626	0.0002934081058	0.0042118410902
h	0.087155161968	0.594059308	0.1277420278	0.0322400144	0.006685565526	0.00672391689	0.0032065025778	0.00186392034398	0.0010809919647	0.0030914965676	0.13615115243
e	0.02965923853	0.83623009	0.0858326762	0.00918076676	0.005424775024	0.00435898175192	0.00263634461234	0.004914319676	0.00425713689376	0.001460866426	0.0160447110448
n	0.012912805272	0.09573076486	0.663314816	0.1839407408	0.032858141672	0.008702957254	0.0006436254294	0.0008030721388	0.0001824671622	0.000278590266	0.0006318598728
d	0.003510550816	0.0849449164	0.554438054	0.2505251208	0.020473285672	0.0111201216	0.013915913264	0.004431083304	0.0061494807452	0.004755947686	0.045735584301
ì	0.02372576178	0.2021670766	0.3965447992	0.1927110492	0.05021410274	0.03005045142	0.01138737174	0.030277999952	0.0152698793656	0.0269176099	0.0207338869428
s	0.0086746708492	0.055951869956	0.42462681	0.421776852	0.0744193973	0.00268657484	0.006736778168	0.001703956254	0.0004532786832	0.001569122506	0.001400708608
o	0.0096512965192	0.125620250304	0.427548328	0.30494918	0.052692807	0.0096254197	0.01652653134	0.01883988412	0.00806870232	0.01388038556	0.01259719798
n	0.0008283411616	0.0028917673898	0.0881496592	0.712507248	0.1617997646	0.0259390866	0.00487286695	0.001227941168	0.0005401731916	0.0005430855068	0.000699976124
t	0.00350897192563	0.0110364214374	0.1288725772	0.69926916	0.0720196058	0.02592032486	0.01105536472	0.00531396406	0.00399638374	0.00927103966	0.0297361296836
