 	non	sono	andati	</S>
e	0.608597626	0.0239987948	0.19867018318	0.168733291194
n	0.622976948	0.21778994256	0.0112401836712	0.147992869818
è	0.0373005322	0.654630776	0.1810540434	0.127014627542
c	0.0225385198	0.926535948	0.026471681432	0.024453918208
h	0.0264147042	0.770629178	0.14535846712	0.05759759166
u	0.03009239702	0.666847318	0.2102489714	0.092811354014
n	0.004533508102	0.2247126498	0.4836781628	0.2870756316
e	0.0208544368	0.0601170994	0.764055008	0.154973515012
p	0.001648743962	0.021008348912	0.744922048	0.2324209164
a	0.005992110966	0.0097073088	0.87517267	0.109127904439
m	0.0015605561254	0.00219645138	0.62127389	0.374968934
è	0.001869268264	0.00535614374	0.893876746	0.09889779557
n	0.00126866702476	0.0076925388	0.672458948	0.318579824
a	0.0060115570206	0.019695818908	0.83887452	0.135418198
</S>	0.0004087114944	0.0005102494952	0.0844886196	0.914592338
