 	non	ha	da	mangiare	</S>
e	0.73551215	0.03861072242	0.008889006782	0.095902615758	0.121085539355
n	0.575782574	0.2413197173	0.0174523952866	0.0155852408876	0.14986020742
è	0.02869980702	0.66363904	0.123378424	0.0948145175	0.0894681779576
c	0.034641588	0.895985968	0.042158647	0.0074660284	0.01974780364
h	0.0502477688	0.751965232	0.0804735918	0.06024976716	0.05706358092
i	0.048720014632	0.582267232	0.201275028	0.095969487	0.07176831168
n	0.004281462504	0.0568387688	0.78727431	0.0760816983	0.07552372632
a	0.022175823758	0.061479881	0.602766034	0.1781957304	0.135382580267
f	0.005272493528	0.0056381344	0.371801318	0.5284344106	0.0888535782
à	0.014042111482	0.0159662298	0.297543256	0.514448808	0.15799960134
i	0.0013714001997	0.005999758192	0.0699640628	0.803103026	0.1195616852
</S>	0.001635065902	0.0021357409	0.0203536121	0.611836504	0.3640389156
