 	le	melanzane	vogliono	girate	</S>
i	0.784718082	0.1163254856	0.005237375314	0.0061719719272	0.0875470096326
m	0.63324208	0.3043295784	0.05427951631	0.000888770499497	0.00726005438722
a	0.27009700808	0.49185295	0.09965754422	0.078287770314	0.06010465989
r	0.397936347	0.5828382	0.014854809215	0.0010427708606	0.003327917808
a	0.1248134842	0.733129168	0.05805563356	0.02072529478	0.0632763201172
n	0.1573449088	0.793168788	0.0260769982	0.003511219632	0.01989810596
g	0.04907214852	0.765137838	0.10905957148	0.0116280252	0.0651023102372
i	0.154086616	0.36592098	0.07100557728	0.1435063632	0.2654805096
à	0.11695697172	0.615698326	0.0695342972	0.05271262124	0.145097896
n	0.127664875424	0.315404388	0.46924974	0.02885409244	0.05882696484
e	0.06185365352	0.35449348	0.2634439224	0.174731363	0.14547766906
i	0.0078753973096	0.1976163197	0.520725371	0.0704005752	0.203382208
t	0.0007671749585	0.03728518554	0.90298798	0.0250452208	0.03391441472
è	0.00686468044	0.06858257956	0.5717393542	0.199714802	0.153098631422
l	0.0003590579298	0.006638765452	0.771167304	0.1783649382	0.0434698406
u	0.0096250011416	0.02826245624	0.649447123	0.1898789676	0.12278645436
n	0.001583935574	0.008804213968	0.233313464	0.565985572	0.1903129146
e	0.00232273419805	0.00550393082452	0.1329404124	0.658593748	0.20063915736
v	0.0011047204213	0.002239089222	0.0717210016	0.73661302	0.188322043
o	0.00501295226782	0.0139728721094	0.0200884042	0.764973532	0.195952245286
t	0.00111773103046	0.001402338512	0.04089465514	0.691761854	0.2648233412
i	0.00814768082224	0.0217449728038	0.01052259844	0.721470238	0.23811459162
m	0.00036749886788	0.0013418951958	0.0225117292	0.552423436	0.423355323
m	0.0022536917059	0.0070286030564	0.00528871496	0.74235255	0.243076423286
è	0.00993704130994	0.00711084861836	0.02470702842	0.6285644	0.32968055401
n	0.00651723466162	0.0138015904992	0.0072982332	0.581789118	0.3905938868
e	0.0336335707358	0.0170369772567	0.0394516202	0.47577451	0.434103288
</S>	0.00208317626678	0.0037804012526	0.010104111414	0.1527804468	0.831251828
