 	ancora	non	mi	sono	vestito	</S>
a	0.88623584	0.021188483208	0.00540290869	0.005677288026	0.013498795286	0.0679967483718
n	0.805115382	0.02936766914	0.005325755244	0.0008847784274	0.002575112365	0.156731350236
k	0.3695563528	0.0933648896	0.1454335282	0.186561	0.0448643466	0.160219902686
ò	0.442397912	0.0842882022	0.1303928128	0.06650155944	0.045511995126	0.23090753251
r	0.0930733044	0.184002016	0.263478859	0.1097802232	0.0939105073	0.2557550146
a	0.4617959316	0.114536984	0.31038369632	0.0278944066	0.05742045068	0.0279684048
e	0.043358282326	0.427830622	0.385722428	0.0432765058	0.038009132212	0.06180315904
n	0.008888951548	0.2546532088	0.442128777	0.172739018	0.02173784664	0.09985219992
e	0.00695561574	0.01748072266	0.2362120032	0.505918636	0.1373474492	0.0960856907034
n	0.010595257454	0.05859835902	0.2051820588	0.609975296	0.06065262946	0.0549964662
d	0.013860777093	0.00770589108	0.0996755568	0.434576052	0.3569835356	0.087198214106
ì	0.03557479084	0.0166506305	0.07703898252	0.239721157	0.22485517	0.406159264708
s	0.00887525676	0.03161884785	0.113854071908	0.3347270486	0.380057884	0.130866791
i	0.010013110004	0.011283560106	0.04148309006	0.2273903934	0.64994631	0.05988348476
m	0.00189472185542	0.0027424461646	0.05737598308	0.05718701006	0.535370496	0.345429316
o	0.0188285156482	0.00129192254568	0.009126241848	0.0252164102	0.869006224	0.0765307203784
</S>	0.00213496878928	0.0015943509528	0.007577933002	0.00868859086	0.475646884	0.504357158
