 	non	li	aspettiamo	più	</S>
e	0.65247941	0.132782741206	0.012393500207	0.05456884442	0.14777538426
t	0.340612678	0.4837821588	0.00396778822	0.0080383658621	0.163599022882
u	0.0286168104	0.644472276	0.133976825404	0.0844996982	0.108434509639
s	0.0544478954	0.886576408	0.0389616384	0.00563459772	0.01437943428
m	0.0096928896	0.4482764508	0.23228692856	0.0664156886	0.243328091263
è	0.02387379664	0.3713486246	0.171683744696	0.1084135924	0.324680257258
n	0.11882145594	0.352095994	0.332111974	0.0925474408	0.1044230256
u	0.0965617653	0.419373802	0.312577034	0.109164688	0.0623227151
m	0.0026288917404	0.03821600092	0.46320631	0.333579578	0.1623692332
e	0.022297227726	0.0955737056	0.1598061912	0.401398542	0.320924361883
p	0.0016665283418	0.0034204996854	0.0742579276	0.792510108	0.128144999
l	0.005178264712	0.033848726588	0.03089612166	0.65808975	0.27198719001
è	0.004955951746	0.0334678677	0.01050079118	0.643449468	0.307625931987
o	0.0050203370486	0.010322247104	0.02695584748	0.72447526	0.233226322
</S>	0.001877242067	0.0041564091992	0.03682298068	0.699399006	0.257744308
