 	non	aveva	dove	a	stare	</S>
e	0.810133922	0.0585691928	0.006457285712	0.0075437723794	0.005469169284	0.111826633545
n	0.6494624608	0.15933519916	0.008439086968	0.00378326682196	0.0198866200105	0.159093509638
ì	0.03394172344	0.6290924207	0.1125643664	0.02860967768	0.0120924967	0.183699119156
c	0.01003592794	0.942406796	0.0415184402	0.001358376038	0.000473942224	0.00420642046
h	0.01790653446	0.701799562	0.2027322072	0.012919645314	0.0342688108434	0.030373216392
e	0.010422118248	0.6610007	0.310862571	0.004307328366	0.00102916598	0.012378143092
p	0.0122046217168	0.07008557054	0.669986704	0.1609387592	0.0257821806	0.0610022256
u	0.05532186126	0.022366420406	0.4240963232	0.1724084918	0.23756066434	0.0882463587068
s	0.0485958208332	0.009670535844	0.1125919542	0.397252946	0.3310836628	0.1008051278
t	0.010618355318	0.01005256735	0.1210909376	0.399303708	0.319886214	0.139048243721
a	0.00419498498	0.009636140652	0.069110393	0.243297738	0.6142031222	0.0595576047644
t	0.00113405678704	0.00107441198474	0.004146098548	0.113695946	0.792095008	0.08785418552
ì	0.0063140123008	0.0142611538481	0.031768137844	0.1497434194	0.516963536	0.280949685867
</S>	0.00115115377096	0.0200506504446	0.009982288186	0.1302904098	0.2163660106	0.622159444
