 	ho	finito	di	scrivere	</S>
s	0.673637694	0.2321636136	0.01146828957	0.02085531164	0.0618750554546
p	0.380871284	0.4129451936	0.0654310462	0.01102564642	0.129726830591
ì	0.1591772672	0.484361147	0.19346007904	0.0440016295	0.118999886065
c	0.1088500048	0.790733928	0.02840157744	0.00857307606334	0.063441521498
c	0.1000108222	0.703438518	0.0276809666	0.030486250413	0.138383356456
e	0.117123602512	0.68137778	0.012099281356	0.110472467365	0.0789267254986
t	0.19756757002	0.55496897	0.1903683834	0.01698610686	0.040109066392
s	0.03091392024	0.281679244	0.2493203962	0.226473028	0.211613444262
a	0.1464895696	0.2803911124	0.302726829	0.08069902	0.189693393121
à	0.014070109146	0.0252740076	0.834456348	0.06871744692	0.0574821509
t	0.010495678104	0.02853373992	0.76150801	0.17942476866	0.02003775692
s	0.003926991232	0.03880269	0.452743014	0.39057681	0.11395069326
e	0.0082928921	0.0099038428	0.156974808	0.414853788	0.409974780366
g	0.00158710913088	0.0021100505784	0.3299006434	0.5200177459	0.1463844706
r	0.00513983802918	0.015521204516	0.1216770388	0.60421141	0.253450541601
à	0.0103164437786	0.01034242506	0.1664859384	0.471760094	0.34109509001
t	0.010706112361	0.0074727242706	0.2295523366	0.624669172	0.127599678
s	0.00203577873978	0.006715569414	0.01636021404	0.717537962	0.257350386
i	0.014727307726	0.011399206912	0.04246358926	0.4252611746	0.50614864514
</S>	0.00148247132798	0.00918216904806	0.0410998167874	0.1865736772	0.761661824
