 	voglio	che	Maria	è	di	venire	domani	</S>
t	0.77486835	0.1226580812	0.00811503068	0.008293311515	0.0061314328054	0.01785954407	0.023972149239	0.0381021325631
è	0.6635439526	0.020893836	0.11291435774	0.022344423184	0.01644064602	0.062385092348	0.091974278224	0.0095033819122
l	0.93705238	0.0241262872	0.01273798834	0.002363736832	0.0006574394636	0.0007803333152	0.0028009846748	0.0194808591304
o	0.683959948	0.0743666334	0.04242115536	0.00702554916	0.007416781636	0.005289918614	0.02366603368	0.155853872843
k	0.1598607044	0.761625772	0.0556790407	0.00641099998	0.00368283438	0.005008628596	0.006348108174	0.0013839975216
a	0.040143997	0.523710608	0.25072346908	0.04137125138	0.0342331574	0.022584173792	0.0081455592	0.0790879041218
i	0.04555689078	0.689422344	0.1748267856	0.04079864568	0.0130160061	0.01879324588	0.009249110648	0.00833698044
M	0.003003893369	0.0811346542	0.778650392	0.0946985738	0.00731896656	0.004253735086	0.015110646	0.015829211012
a	0.03916674694	0.31311845614	0.2494010386	0.1537970025	0.14445389846	0.02367362742	0.03802732608	0.038362103534
r	0.02137550798	0.22351817956	0.453083042434	0.0616306626	0.0248606199	0.113906473526	0.0099900533212	0.091635596796
ì	0.0369215764	0.2293178668	0.2738035666	0.0715407876	0.17611627	0.05495079274	0.01983694612	0.137512249976
a	0.0276205419	0.0463072162	0.3728662814	0.2352609992	0.0635880484	0.07449389034	0.1526260048	0.0272369908
è	0.00427482060172	0.0437157563916	0.25841041622	0.51590333	0.1076154718	0.0194514464	0.03941044514	0.01121821536
n	0.00222882279524	0.0104454671	0.1631477628	0.3345739104	0.2158684194	0.0236213691	0.2196540724	0.03046028718
a	0.0103612193331	0.0276149688922	0.19522865816	0.1226852114	0.3313173772	0.01128519312	0.1669192154	0.134588006464
r	0.0192587142196	0.03290604802	0.010907052294	0.1016491459	0.3170818946	0.358950544	0.1434199262	0.01582658638
t	0.0255792158936	0.0335332052698	0.0254008656	0.0776944914	0.457249136	0.081438733	0.0977082962	0.2013962065
i	0.10277342182	0.01559334692	0.04343418036	0.1429250354	0.2905218954	0.01552424282	0.0148017052	0.37442618402
à	0.0214813391461	0.0195239401326	0.010777656333	0.062330171634	0.1384572078	0.420183904	0.24232537886	0.084920441
v	0.000909671847513	0.00100558457224	0.0096096806884	0.00705918596	0.016416657726	0.074444324066	0.799262922	0.0912919588
v	0.00702676380617	0.00785099028901	0.00966152677	0.0115530592488	0.05395117262	0.0432490245452	0.668422466	0.19828506022
r	0.0767795313484	0.0309789337926	0.046487770788	0.0261188474	0.18841279692	0.0584177926	0.10679725086	0.46600711652
i	0.172750859232	0.0349506260808	0.00833457804	0.03550627046	0.142144612	0.0393769926	0.0563112452	0.5106248602
</S>	0.0432019224475	0.00657200799407	0.00245975345104	0.00498115181	0.04550485929	0.1500676142	0.03903315654	0.708179708
