 	da	da	un	famoso	poeta	</S>
p	0.926199802	0.0156862412	0.001809262864	0.0025340302292	0.0059531756786	0.0478175072157
u	0.7098849372	0.0884334744	0.0571760813	0.02583980564	0.005063880177	0.113601724532
s	0.2894452074	0.670989846	0.03389691174	0.0017773049128	0.000685797195	0.0032048423008
s	0.0890548018	0.649477254	0.1950614912	0.01869768904	0.00816882314	0.0395399064991
è	0.1775456366	0.366419637	0.22450143886	0.05466357518	0.02731734468	0.149552448397
n	0.02302744892	0.555360818	0.368281886	0.0291508819	0.002899216492	0.02127983172
a	0.0347060591	0.462561096	0.412680818	0.0464670504	0.0068250175	0.036759983104
f	0.0048348870346	0.0579664836	0.8434518	0.06990730124	0.00657386426	0.01726561368
a	0.0418594857707	0.12249461588	0.458498104	0.2463102706	0.0334923188	0.0973453074196
m	0.002323783578	0.00944144134	0.375518048	0.523831028	0.0426736814	0.0462119356
ò	0.0160443134921	0.0589309519	0.139184132	0.664807024	0.0435654951	0.0774680766332
s	0.0027541950666	0.013044686	0.29626087	0.568053964	0.0647210269	0.0551652608
o	0.0227897581424	0.036862573762	0.1645134108	0.582540322	0.1587902486	0.03450368328
p	0.00192725891128	0.0023814988244	0.01908390226	0.358215506	0.511510964	0.106880803
o	0.011033825985	0.0170739062282	0.01609174728	0.46385346	0.400377964	0.091569085476
è	0.00151186583896	0.0007288004006	0.002088466234	0.0597336986	0.827630594	0.1083066436
t	0.00054246076103	0.00222509146798	0.026468976787	0.08637492302	0.783302046	0.1010865263
a	0.000356234932014	0.000964413539011	0.002378090452	0.0313347216	0.924704394	0.04026210608
</S>	0.00023950083788	0.0005198351572	0.001155862314	0.00728904222	0.341919892	0.648875924
