 	vogliono	girate	</S>
t	0.6866956104	0.0552885348	0.25801584973
è	0.71785637	0.11456566866	0.16757793718
l	0.965584072	0.01694565424	0.01747031028
u	0.6329565044	0.133970836612	0.233072798324
n	0.69663217	0.2139321348	0.0894356674
e	0.18758309432	0.613055656	0.199361137868
v	0.1887545476	0.573662714	0.2375825808
o	0.00835146246	0.797613112	0.194035474686
t	0.047040295566	0.627705126	0.3252546036
i	0.03843797616	0.730036236	0.2315258425
m	0.0207360584132	0.583400096	0.395863901
m	0.0096115977486	0.77089922	0.219489249724
è	0.02563624132	0.624648388	0.34971543174
n	0.017292208568	0.670352464	0.3123553474
e	0.066444984366	0.532521728	0.401033312
</S>	0.0036801319308	0.1544037044	0.841916112
