 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.761069652	0.17701499828	0.0261869567	0.003599067532	0.002221777145	0.00475995105	0.0251476927644
ò	0.76101302	0.1879988108	0.04201593048	0.00273278675728	0.00053932549378	0.0004550393076	0.0052450620732
p	0.84382583	0.13788842634	0.010424767248	0.004093481125	0.00060220299112	0.00242632948332	0.00073890646196
u	0.493439984	0.3372952934	0.0552109482	0.04417885825	0.004033010356	0.00357844268	0.06226332982
o	0.2514099296	0.704280728	0.03569237712	0.004204538978	0.00073858293564	0.0012799924266	0.00239392739936
G	0.024130604494	0.886421036	0.0778779936	0.004523374356	0.0012222689894	0.0003428006232	0.005481801544
i	0.0360001746	0.62417763	0.229868986	0.01081654236	0.004883822666	0.017259402	0.0769935062126
o	0.016289232968	0.9161328	0.04337887072	0.0112162086108	0.0055484086736	0.003462237781	0.003972323105
v	0.0044067871668	0.479670948	0.443527997	0.05993765823	0.006254928234	0.000686120026	0.00551563306
à	0.0060343967112	0.267371344	0.507830632	0.0634677098	0.008104092928	0.016796507208	0.130395142732
n	0.0141150014386	0.4415983714	0.386852896	0.1370979736	0.00609747322	0.005415263694	0.008823095374
n	0.0153194312437	0.244754494	0.5139578048	0.0570293662	0.003133290192	0.00748612148	0.158319554444
i	0.0333920996	0.2200819934	0.357578698	0.13397554354	0.018159983188	0.090703934496	0.14610781968
j	0.0022546212546	0.07035165334	0.722928474	0.1110803006	0.05319941576	0.00993401041	0.03025160674
ù	0.0045044041556	0.0255185234	0.430329176	0.281098445	0.046486496	0.060936281	0.151126759167
r	0.0007517434445	0.03264774972	0.388577994	0.496363244	0.0480358812	0.02192939032	0.01169408926
i	0.00774653891652	0.04145314	0.211775028	0.585272038	0.0562027782	0.037421234	0.06012935086
s	0.00159166795784	0.00558643978	0.12891930232	0.413682238	0.337752822	0.077207227	0.03526032372
e	0.00389438273731	0.00511192676	0.0782215604	0.594322132	0.170435362	0.0443267492	0.103687964671
è	0.00443422746836	0.003787281032	0.03736975102	0.2048433896	0.49058523	0.206216133	0.0527641946
s	0.000578415209636	0.003620091576	0.01417597394	0.171988536	0.403313174	0.387501666	0.0188221069
s	0.00121384422696	0.00299722768	0.01073820342	0.1702053372	0.352834678	0.362693556	0.09931698394
u	0.00280611966891	0.0026525112	0.0185182013	0.12294792214	0.183651894	0.290902162	0.378521210514
</S>	0.00357879686208	0.0038773266972	0.008893728832	0.024362785236	0.086940614	0.551570364	0.320776372
