 	vuole	pianto	</S>
e	0.6374963676	0.17568592122	0.186817705837
t	0.988476232	0.002241854604	0.00928186312
è	0.611815964	0.168115984	0.220067977114
l	0.94805221	0.0434947366	0.0084530286
i	0.734753644	0.1684739418	0.096772426166
k	0.20853883928	0.727819572	0.0636418054
l	0.01483971874	0.585082758	0.400077473244
a	0.0259290752	0.728872424	0.245198521035
m	0.010781283586	0.632472366	0.356746402
m	0.004245797288	0.641696618	0.354057574964
è	0.022193683932	0.592948206	0.38485819477
n	0.023760885168	0.67323979	0.302999284
o	0.06589734408	0.5249373156	0.40916526
</S>	0.001922452642	0.1578005104	0.840276954
