 	non	sapeva	dove	a	stare	</S>
e	0.870633172	0.032513513402	0.005026232126	0.0051094430624	0.0044745351328	0.0822430563884
n	0.6621121168	0.1528696288	0.003478560848	0.00451554093846	0.0213055405072	0.155718620838
ì	0.0674572071	0.56757806016	0.153978162	0.03878910016	0.01476845366	0.157429059363
s	0.0907035404	0.85862982	0.04263438552	0.001824496396	0.001093685978	0.005114045414
s	0.05943838366	0.75094404	0.0985252835	0.0064635252	0.0484429570342	0.036185749182
e	0.02515113776	0.413799416	0.2383698914	0.01722584494	0.04605104296	0.259402750672
r	0.009434579058	0.309438843	0.5656762508	0.03337739552	0.02357002072	0.05850287002
e	0.021184234774	0.1708878842	0.451164216	0.1704202162	0.0836728304	0.102670686712
p	0.0109343180734	0.0372453141	0.621406866	0.1592530666	0.0770030472	0.0941573316
u	0.007007177194	0.01055114166	0.4025049682	0.196542914	0.31896321162	0.0644305202856
n	0.013848195191	0.01385998784	0.216584276	0.411358466	0.2071663214	0.137182762
a	0.0042912145208	0.009423571236	0.1192967002	0.464246139	0.299224858	0.103517552075
s	0.001923830355	0.0023365550352	0.02945426668	0.245096526	0.638992168	0.0821965474
t	0.0033880931094	0.004554145218	0.0238112648	0.3508211614	0.493442974	0.123982348956
a	0.001092321605	0.00356203322	0.02039001314	0.1897363847	0.72806042	0.057158759734
s	0.00038165061752	0.000551198455	0.00167938544	0.0426286942	0.826475828	0.1282831826
ì	0.00359185663626	0.0021997174554	0.008033244456	0.1030442704	0.61594547	0.267185437324
</S>	0.000408040051422	0.001152206043	0.00826554741	0.0280141682	0.19076527	0.771394778
