 	siete	cucinato	</S>
ì	0.833824	0.11075637234	0.0554196557054
s	0.752131922	0.063763382906	0.18410492444
e	0.6283156812	0.2781140332	0.0935702856
s	0.538040964	0.359561504	0.10239747308
t	0.0622931866	0.696540584	0.241166385664
a	0.1630689731	0.513559336	0.323371829726
m	0.039301639094	0.7418684	0.2188299752
a	0.0098309411	0.584934496	0.40523459059
r	0.0204730186114	0.578979976	0.4005471354
à	0.017711103892	0.598841946	0.38344690101
t	0.018877190904	0.676121236	0.305001596
a	0.01877754582	0.661467894	0.319754548
</S>	0.002040215393	0.2236953394	0.774264434
