 	questo	muro	vuole	uno	specchio	</S>
c	0.746550862	0.09632465698	0.00723071508	0.01217684023	0.019643323346	0.118073556374
ì	0.705348174	0.1912755168	0.023022659788	0.0275846998693	0.0054564479204	0.0473125245997
t	0.866211648	0.1096804576	0.0112722378084	0.0080359797702	0.00209675832832	0.00270299203156
t	0.612390264	0.197381483	0.0678094292	0.0293793876552	0.00970409266968	0.08333534396
o	0.724998432	0.1460775568	0.030366083	0.028097052	0.031049333728	0.0394114810802
t	0.3727954648	0.485305548	0.1144183544	0.019260900756	0.001870647104	0.006349128998
ì	0.03815519754	0.6935836892	0.046978678	0.0325589186	0.09801497438	0.0907084405513
c	0.0244426604	0.907261896	0.04814800026	0.00401067661	0.001611373226	0.0145253601
h	0.03992526688	0.575186074	0.327376606	0.01821271208	0.00786482982	0.03143443486
o	0.09458848288	0.496261982	0.2992960233	0.004851330606	0.034847104162	0.070154976784
t	0.041506573516	0.0374842448	0.82952018	0.059929698	0.0184931518	0.01306606312
è	0.0085090991365	0.050818272	0.4614861125	0.1199997254	0.199908035	0.159278693518
l	0.00239080602538	0.03379692178	0.739910576	0.0865019026	0.0458845991	0.09151515374
i	0.0108933728788	0.02097276404	0.6998005748	0.09234129672	0.084794484268	0.09119742048
è	0.0005770967854	0.001468383312	0.20546053	0.552146122	0.14763672748	0.092711102
n	0.00169888531762	0.0030584534036	0.1219375744	0.5335098	0.24051239396	0.09928293568
a	0.0068905377852	0.006475239583	0.1161180558	0.464227482	0.35396423408	0.0523243934
n	0.00140939414861	0.0004026882974	0.00638614994	0.5987852	0.2914698064	0.1015468152
j	0.00508544770861	0.00463608533592	0.00712016482	0.31995897	0.467240433	0.195958924636
a	0.00470035811863	0.00836501454	0.0182090148	0.3521895854	0.16069828014	0.455837646095
l	0.00071582686614	0.000952030762	0.003044457786	0.2563954116	0.4526307426	0.2862616948
ì	0.00946883555665	0.0055715118848	0.0051158653	0.2026062076	0.4003926601	0.376845008096
</S>	0.000708934562605	0.00182150754	0.0445433239928	0.04372999563	0.384057134	0.525139188
