 	è	possibile	che	è	entrato	da	qui	</S>
i	0.937040034	0.0558438798	0.001739925673	0.0003411413006	0.0005798380878	0.0004751150708	0.0007232689096	0.00325680043254
s	0.6050058124	0.3707965	0.01346839948	0.00307067656	0.00026774174	0.000146163645	0.0002385038464	0.0070063175448
o	0.1183677739	0.53716772688	0.05442453594	0.0579020308888	0.004305756916	0.01328169434	0.08429924858	0.130251106365
g	0.10557032516	0.792980654	0.0808170824	0.00943470908	0.00224369303	0.000854111176	0.000897139544	0.007202335774
g	0.01843591382	0.6704016846	0.1270084802	0.090216822846	0.020892149252	0.022991061098	0.0030663622	0.0469875571193
è	0.06488756612	0.6780878	0.0670020234	0.018552716283	0.101689842429	0.00570844265812	0.003805771651	0.060265960578
s	0.0335364742	0.638171862	0.1719884974	0.07806517528	0.056494610852	0.00714767156	0.0021659284	0.01242980322
t	0.0593174122	0.40892282	0.29682512	0.0310366822	0.046239184	0.07470243322	0.0106458608	0.072310524394
e	0.03681288352	0.2296362194	0.2015419778	0.06931859946	0.0944514272	0.0317751072	0.069258409342	0.267205118331
k	0.0047552002788	0.06468078458	0.481051168	0.315742444	0.0695801154	0.0479576415	0.0048172428	0.011415351776
a	0.0064024222128	0.09510986612	0.340698878	0.1259629284	0.210222356	0.0475652166	0.01115522514	0.162883147323
m	0.0078766950468	0.0539093709022	0.22813487	0.303339875	0.1624380462	0.2188438434	0.01306152745	0.01239570826
b	0.00493937779	0.030739720204	0.196858147	0.0825456098	0.3361433352	0.132305386	0.0286293592	0.187839025935
ì	0.0272621382	0.0389213268	0.0813953444	0.1423154964	0.408543487	0.0879979206	0.02247251408	0.191091677507
k	0.0308356591	0.0174660676	0.0480127972	0.2124134262	0.3046080392	0.2504431674	0.0375497768	0.0986711626
e	0.055951931148	0.01362350539	0.05287579032	0.1015972004	0.490104638	0.150000661	0.0386902698	0.09715601503
a	0.021093551613	0.0330592341948	0.0119312009392	0.030129840868	0.0515603359	0.703120832	0.1007539198	0.048351136
p	0.0009368905282	0.0214038975724	0.00187163334	0.0145800617	0.02012147162	0.305185664	0.555004022	0.08089629354
ò	0.004256539876	0.0075617224612	0.003299672759	0.00776821662	0.02440038656	0.1682022424	0.612083139	0.17242804558
t	0.00083492753296	0.00454962988924	0.001161170308	0.00862858738	0.02819298946	0.058125354	0.838359018	0.0601483416
t	0.00405671813255	0.00718992572838	0.00322418564846	0.006285907118	0.030355952219	0.07108057736	0.753750198	0.1240566682
u	0.006333445166	0.0211135669552	0.003123991554	0.01657272938	0.02633552162	0.0401884418	0.608188594	0.27814378248
</S>	0.00554961833776	0.0416831345813	0.00075954869226	0.000505216228	0.0006538120338	0.013610902024	0.351261981	0.585975816
