 	non	ci	dimentichiamo	mai	</S>
e	0.79617157	0.070803271299	0.008047804588	0.0401833067535	0.0847940591143
n	0.332344294	0.552237492	0.00392700469311	0.00374690457904	0.107744322503
è	0.1117732596	0.5179587076	0.22800970084	0.05156271896	0.090695611398
n	0.3247536796	0.585952098	0.041395379034	0.008132464964	0.0397664625
a	0.2337175304	0.64115543	0.05644023746	0.01119363168	0.057493073694
a	0.03936333402	0.793881434	0.0864070868	0.02131807246	0.0590300279
l	0.00892658616	0.3831904836	0.477755148	0.0223986504	0.10772912536
l	0.004859251438	0.03115975713	0.8037076	0.07871859624	0.08155484862
i	0.026016161106	0.05549555128	0.557725596	0.145178413898	0.215584230521
m	0.00412329602	0.05601896968	0.323443654	0.2894405148	0.326973442
o	0.0083480101	0.03079017668	0.73396884	0.141272394424	0.0856204116974
n	0.0066716330954	0.026870400354	0.567161462	0.238956968	0.1603394949
i	0.0043661727772	0.013913500584	0.44102168	0.309139321794	0.231559312153
s	0.001093951988	0.002353252228	0.256908056	0.59238646	0.1472582966
t	0.0019221527984	0.0034785540848	0.443570886	0.34122279598	0.209805468995
ù	0.0016385043644	0.00907007245	0.3638712262	0.530464104208	0.094956103467
m	0.0034877749536	0.038753460468	0.09130817414	0.57069238	0.295758156
e	0.0115394383101	0.012303164572	0.225323142576	0.5735547488	0.1772794494
s	0.0008435420891	0.0007631377844	0.00823535394	0.732692508	0.257465489
t	0.0069290516404	0.0382002938223	0.169860983661	0.46605495248	0.318954666846
a	0.0123507887062	0.0738427398416	0.1568683342	0.5611063366	0.195831734682
m	0.0023954429254	0.0115718188037	0.031400896824	0.542546546	0.4120853588
à	0.00493895210456	0.0647874338388	0.18378149035	0.35666601	0.389826034884
i	0.00125144902751	0.0013204287094	0.0271994653506	0.692091536	0.278137268
</S>	0.0024517296716	0.0061528751332	0.08458399618	0.39142309	0.51538824
