 	sto	e	cucino	</S>
e	0.746756886	0.04156308266	0.129592780946	0.0820872558904
s	0.808001026	0.14642702296	0.0184880969251	0.02708400762
t	0.5065216348	0.238913412	0.0205134068368	0.234051526588
è	0.449397885	0.1850314852	0.212413985676	0.153156661208
c	0.156357468	0.684307442	0.0658427546	0.0934924026
e	0.1061802422	0.44152117	0.29983132131	0.15246727196
m	0.02842097012	0.386855116	0.349778834	0.2349450594
a	0.00730846974	0.33033615802	0.552193574486	0.1101618136
r	0.102233713647	0.1184544894	0.4889529072	0.290358908
è	0.0223673456306	0.2032657236	0.5505040792	0.22386276508
o	0.035167675105	0.08832769912	0.566679814	0.309824884
</S>	0.0019921690672	0.027371504944	0.5829169956	0.3877193374
