 	non	aveva	da	stare	</S>
e	0.79301704	0.041635533	0.012351489516	0.008449194568	0.144546720118
n	0.6705832252	0.14328371784	0.00413080774	0.0269325308944	0.15506982126
ì	0.028515952	0.6058368708	0.1635018608	0.0337916068	0.168353705281
c	0.00975602812	0.972812802	0.0095906014	0.00184621667	0.005994473498
h	0.01744280688	0.803290644	0.07332938652	0.068857837182	0.037079432046
e	0.011311534266	0.911116596	0.0561895216	0.003391641826	0.0179906285352
n	0.006570995988	0.033244457	0.726456274	0.1060035166	0.12772471294
a	0.01653148133	0.03019016124	0.593311124	0.2566617654	0.103305540675
s	0.0101813956342	0.00367326228	0.2038057314	0.640330152	0.14200955346
t	0.009105462662	0.007427894474	0.25361342	0.61204445	0.117808687708
a	0.001742300682	0.0036025217	0.15183511804	0.7278474684	0.114972559532
s	0.00059498123066	0.0006730427786	0.0062706822	0.841479842	0.1509814096
ì	0.00694839219348	0.0266959906653	0.03330309524	0.673199548	0.259852860174
</S>	0.00089148998222	0.0221308390019	0.01540447032	0.192528738	0.769044502
