 	guardate	che	il	ladro	che	il	ladro	è	entrato	da	qui	che	ci	sono	i	segni	</S>
k	0.843793824	0.0742519574	0.00888690122	0.00938219586	0.001697271644	0.0035922210332	0.009805798622	0.006610000318	0.0151554700726	0.0022924378116	0.005566093992	0.0031792650056	0.001695803674	0.001633532526	0.0009140103214	0.0029861261528	0.00855704709847
a	0.88866494	0.084179326	0.00578711304	0.0068555001648	0.00080608858508	0.0005660848724	0.00214193291818	0.0005855118404	0.00055925896552	0.00068811376546	0.001219326341	0.00042232623886	0.00083654381082	0.00026969853163	0.000600969791932	0.0001902397991	0.00562702632302
n	0.745921828	0.217387816	0.0186987102	0.0080483465748	0.0015735236736	0.001273351216	0.00163692316116	0.00087775756384	0.000953337676404	0.00051049737717	0.000894870722	0.000295317696226	0.00047006347758	9.9525341556e-05	7.437026695e-05	3.10184976056e-05	0.00125269958897
o	0.248877542	0.47800235	0.1066606571	0.04432624354	0.009413262412	0.007235719012	0.010573178028	0.00216218483	0.0045287460164	0.0037283734574	0.006355629814	0.00422995301466	0.0047375857156	0.0016864412746	0.00154752679474	0.0021931200032	0.0637413941011
n	0.2019583328	0.59918945	0.1233962106	0.035732554877	0.009036378582	0.006705292746	0.0046599650318	0.0028690047878	0.00266646160664	0.0025009977434	0.003133617616	0.0016902613216	0.0028770518208	0.0002231808794	0.00054781043958	0.00015812225984	0.0026552908598
ì	0.0885712274	0.5470320012	0.1537207786	0.0747810629	0.01353897494	0.007333736092	0.01028195642	0.003061585928	0.002429074004	0.0034287830852	0.005126615978	0.0031146734292	0.0132247213602	0.001306463878	0.00068071406574	0.0023401303736	0.0700274698797
s	0.0452399262	0.386930964	0.375803034	0.126382541	0.0185182938	0.00897703478	0.0072897175	0.004688708772	0.005206958784	0.0019671503516	0.003707061012	0.0013167465706	0.002219065793	0.0024321020944	0.00095562776072	0.0012892321794	0.0070757252182
e	0.1224092506	0.35537916	0.2379601826	0.0943363164	0.01345000674	0.01445294096	0.022483793	0.01338612122	0.006505550216	0.009424999802	0.00876974666	0.0031119417872	0.020518009108	0.005455125832	0.0037186939155	0.002741935414	0.0658962767511
t	0.008938901273	0.0785430386	0.717418448	0.13922987492	0.02395626131	0.01616803114	0.0062967786371	0.00270949894	0.002078695493	0.0012193791083	0.001037320906	0.0006235475628	0.001079473166	0.000126797388	0.00014731027792	6.2665500869e-05	0.000364077276668
e	0.00741316473	0.09308366136	0.286114566	0.390611623	0.0339876748	0.01685788278	0.02502533588	0.0072639037	0.00206191692	0.008379284594	0.01374057456	0.011244656215	0.03644535582	0.021896752586	0.0121331000248	0.001463032832	0.0322775087734
k	0.0030458955548	0.0194180964	0.634550572	0.2344576296	0.05162373186	0.0223062728	0.0115934768206	0.005442916338	0.0043313402392	0.00262577024	0.003303775156	0.0015906890674	0.00351128434	0.000380319666	0.0003902173372	0.00021345589256	0.001214656836
o	0.0163587390452	0.0411717956	0.22488336	0.494172278	0.068000875	0.020657241048	0.0250489969	0.008027923216	0.00523456422	0.009932148284	0.0107400778	0.0056517337652	0.014164076158	0.003260757307	0.0028072256998	0.0018811366928	0.0480070017446
l	0.0020543826516	0.00737427606	0.3479774786	0.412627864	0.116107984	0.04757389608	0.028982025394	0.01097383694	0.00800847278	0.004008059722	0.00505906988	0.002364948946	0.003312239634	0.000640098048	0.0007759819302	0.00049255839066	0.00166689932
à	0.0035331087832	0.013329295924	0.0739663124	0.609939312	0.114063017	0.043207572272	0.0605451482	0.004952115588	0.00259895365	0.0046694888	0.00677791074	0.004428346486	0.017771275206	0.0101286317892	0.0059861305194	0.008863337066	0.01524013569
d	0.0013018139986	0.003565760812	0.05098366	0.706216872	0.0860844648	0.0360553456	0.07649788138	0.01385828932	0.00979977846	0.00270783983	0.002698152996	0.000542558762	0.0008998490332	0.0022830474036	0.00043247494104	0.0028262278248	0.0032460981
r	0.007583532986	0.01172065401	0.0398297422	0.601442072	0.0775091534	0.0485076272	0.0518356666	0.0186228776	0.01120545122	0.0175878779	0.01147932962	0.001320217316	0.005436938286	0.006741357146	0.001622732874	0.017717285936	0.0698373863104
o	0.0153789218	0.03641854108	0.11251374	0.273486734	0.0854864612	0.0576330928	0.1360165318	0.0483517706	0.05881899348	0.01891491026	0.022951509	0.018975110544	0.031446152115	0.02756248206	0.02122777137	0.00409758576	0.0307197345
