 	se	nella	nella	pasta	voleva	sale	l	avevo	messo	</S>
a	0.692108958	0.061409122	0.01041600294	0.15878813924	0.00217468642	0.0014146325428	0.00145225821	0.001797851314	0.0028072466764	0.0676310662019
m	0.556696881	0.2103075198	0.0187175952	0.013487629348	0.01165414906	0.005701205076	0.0025759807264	0.00119182201075	0.0273036242741	0.152363609909
e	0.00678164068	0.552341222	0.167507914	0.0541479361	0.05275861848	0.07701975568	0.040106057208	0.00387568633	0.016281649456	0.0291794070897
s	0.02442162642	0.749629636	0.169982126	0.04524477748	0.006571510812	0.0015142097	0.00047170833746	0.000243233171878	0.00052533143512	0.0013959924108
t	0.006667710102	0.453214952	0.291796518	0.064572168	0.02155137888	0.031765515016	0.004898634145	0.0062097303252	0.012800745036	0.10652257601
i	0.030567834714	0.524548394	0.1752154256	0.03376828684	0.026883223932	0.038190242792	0.0416607259427	0.01255651493	0.0853498730692	0.0312594056201
p	0.009748862178	0.4441680112	0.404368862	0.06795485524	0.02680453386	0.02181906336	0.0071739112852	0.0020505175759	0.0105238100396	0.0053875763513
à	0.008213156312	0.188047536	0.519841272	0.111030751	0.03763869102	0.053771389324	0.0367009192628	0.003827896364	0.016436547548	0.0244918256244
s	0.003812777823	0.0853722104	0.41763735	0.36531177	0.0821983176	0.012263348	0.002635219034	0.00412887626	0.007475323254	0.0191648925
t	0.0157802495982	0.12663388556	0.356451146	0.2574171412	0.127607686	0.0229009854	0.01938256112	0.00871446664	0.01346347328	0.0516484542
a	0.005134944321	0.064201896	0.206475986	0.404014668	0.0964806505	0.03424947676	0.008825329026	0.0137236816	0.0998641083	0.067029263018
ì	0.0050061071304	0.033207560658	0.152483866	0.2495226088	0.490834104	0.0410377392	0.00913367516	0.006065557873	0.0067197303473	0.005988957244
c	0.000772584403506	0.0012534360449	0.010675383548	0.03767179834	0.827914976	0.091660258	0.0042291412	0.0060140354626	0.0145818895355	0.005226628834
h	0.00920781996492	0.020298083884	0.11028159736	0.1518260958	0.54546648	0.0591057796	0.01277237108	0.00557102902	0.0202529657	0.065217696706
e	0.002032062796	0.00465723442	0.04919128	0.297740926	0.445604882	0.031272477	0.010959498688	0.024055252644	0.01320619492	0.121280257343
t	0.000380307757872	0.00260026468026	0.01261220436	0.03198275006	0.555531644	0.330335449	0.0326590852	0.014022953762	0.00856954726	0.01130579318
e	0.0143061706952	0.0204288118169	0.03243493775	0.02072704505	0.333806292	0.2795147636	0.1228361098	0.0335206534	0.0713591206	0.0710660120954
l	0.00016022961992	0.00217419759456	0.0028458476484	0.0199614532888	0.187250695	0.511637372	0.207213945	0.025334703	0.0185852553	0.024836341179
