 	è	pericoloso	di	nuotare	nella	notte	</S>
è	0.911885242	0.0681695602	0.00115903486	0.00060689574	0.0005272985168	0.00066176297	0.0169901063116
p	0.3368781284	0.60698736	0.008240437556	0.008685336266	0.00253474288431	0.00807332317239	0.0286007610529
e	0.13611561834	0.725936966	0.067542138	0.05016339504	0.003579444894	0.00191172035853	0.014750701054
r	0.1091419995	0.86845016	0.0198751862	0.0017079908	0.000192387353	0.00020781770198	0.0004243949992
i	0.033359683	0.648101078	0.222185304	0.0401043646	0.015942797026	0.01463618432	0.0256706448492
k	0.00774361906	0.727945104	0.2340291294	0.02402819366	0.002163549904	0.001035555912	0.0030549787
u	0.01384031016	0.4227554426	0.401915806	0.070406436	0.018623499794	0.0176581842	0.054800293109
l	0.005978833074	0.51018789968	0.42395063	0.033135649	0.005903214776	0.002820647538	0.01802308806
ò	0.031126401364	0.25600194382	0.482655124	0.133218548	0.02345562132	0.02837054494	0.045171685602
s	0.01320416498	0.164499528	0.561057622	0.2120341386	0.00707662104	0.010700313458	0.03142763262
o	0.028838445506	0.14711601812	0.534925336	0.1635984774	0.0186951988	0.02606330924	0.08076313906
n	0.00121290479402	0.022065209644	0.540726892	0.394856484	0.022663416	0.008659882488	0.00981517854
a	0.00739862064348	0.0158965945734	0.337904242	0.453432392	0.07601113706	0.03171747996	0.077639417088
n	0.0012764678592	0.0044726523508	0.241048683	0.626207862	0.0733930128	0.01870197484	0.0348993114
a	0.0067239110884	0.011805178181	0.1754807516	0.434752714	0.2134490548	0.0646367234	0.0931516210092
t	0.0013575936574	0.0038614190054	0.17416823514	0.439543038	0.28172098	0.04433710866	0.0550116172
è	0.005615912678	0.0089362802306	0.07386139616	0.244881448	0.4196181592	0.137523403	0.109563268076
t	0.00077149404974	0.0028706409348	0.0257195038	0.429206972	0.372733982	0.1240391792	0.0446581082
s	0.00728478308757	0.00891939789842	0.031921781384	0.2695779288	0.3988618668	0.171771774	0.1116625078
i	0.002329035674	0.006639062162	0.019424512	0.044118128	0.332493514	0.278075414	0.3169202863
a	0.0008738245632	0.0015240350106	0.01645089074	0.04011609832	0.514684106	0.2064283976	0.219922647
t	0.0004825292076	0.002378994452	0.003553404956	0.13162708888	0.4272497592	0.26036417	0.17434395234
s	0.000873904364	0.00167111304	0.002482531976	0.0264253608	0.4711839312	0.38387372	0.113489308484
è	0.00032066444994	0.00111446597374	0.006578447492	0.00414633202	0.1977369478	0.47703755	0.313065588675
n	0.00127336219108	0.00083389356666	0.001678598118	0.07801529984	0.1145718732	0.570550884	0.2330759484
ì	0.00183936236728	0.00212956389976	0.0037395327736	0.084599388984	0.11890900514	0.698995954	0.08978708306
t	0.00152970076822	0.000848072375122	0.00102460305302	0.02264112167	0.04661637074	0.686198432	0.2411416506
t	0.00245125560461	0.00198989623559	0.00172035221714	0.00867647092	0.037856561112	0.748202854	0.19910247292
a	0.00104505440779	0.00314442221349	0.0036025345286	0.0085525245228	0.028550927388	0.70105132	0.254053084153
</S>	0.00161919095668	0.0027443758152	0.0015482512418	0.0027205945898	0.047796218188	0.154299854	0.789271504
