 	è	che	sono	ancora	svegli	che	ha	la	luce	accesa	</S>
è	0.954976162	0.0237601078	0.00342912856	0.00170375268	0.001354178796	0.0017797724926	0.003086483975	0.0017802299686	0.0009197074966	0.0018645040212	0.00534599494376
n	0.621485466	0.2105751	0.0522859974	0.0200066709	0.006614051278	0.00655438542	0.007198776736	0.0024463835988	0.0040415629544	0.0241932102156	0.0445983434422
a	0.263387668	0.519085316	0.119541805	0.01358330146	0.027179363952	0.002253910096	0.00197557685	0.0042849480088	0.0002788895946	0.0103839556826	0.038045306483
s	0.10413290564	0.586846656	0.2563996826	0.03745091566	0.013677841946	0.0006437344274	0.00031479729712	0.00013074448156	7.877955574e-05	2.5566756e-05	0.0002984477614
t	0.019250094576	0.2198734472	0.526363292	0.0391651408	0.070976061292	0.002918703795	0.005416116463	0.0031763188548	0.001889505345	0.005314687927	0.105656742636
a	0.07726679	0.474339028	0.289077654	0.03148529262	0.0708460354	0.0087956264	0.008386417834	0.00946367656	0.0103094081824	0.003818020746	0.0162120420622
s	0.00812208346	0.1923912588	0.560055954	0.1699587208	0.05037628318	0.00487017202	0.0032260519	0.002989550678	0.004960049461	0.0008941071906	0.0021558340586
ù	0.025367149956	0.1171194947	0.45879906	0.1874858877	0.05258791936	0.0174257699	0.016709920872	0.00961907344	0.009434301044	0.009960782632	0.095490476763
n	0.007603963	0.02985383972	0.595412345	0.3330419374	0.01038436192	0.0042895426	0.00423849838	0.00255100492	0.00242368352	0.002867792616	0.00733304777
a	0.00992914686	0.084636652	0.488233522	0.2346157844	0.0921800927	0.00622115332	0.011978722746	0.01575962048	0.00315969447	0.010991469572	0.042294036724
n	0.00121285921	0.009299262558	0.0813740056	0.741076192	0.1146712754	0.02136371754	0.01208022286	0.006242003384	0.00659913955	0.001205998138	0.00487531386
k	0.0071116692637	0.0206072747636	0.16524709248	0.459923004	0.0871154674	0.0227908556	0.030708541406	0.01944325324	0.009110249376	0.03089922188	0.147043408609
ò	0.028119949486	0.05052730396	0.2969990526	0.2378827808	0.0453581166	0.04823720958	0.02569552186	0.040640835206	0.030555554704	0.0352673548	0.160716338316
r	0.02158196034	0.01640429964	0.27297234	0.1868470092	0.1049182536	0.0596779999	0.0792204998	0.06468551734	0.0369444411	0.029744152074	0.12700353584
a	0.021842070774	0.020356159286	0.0751431834	0.387260441	0.2656519406	0.0328684032	0.02961934836	0.0422403216	0.04673215431	0.03370598404	0.0445800502
a	0.00175446577726	0.0038666340809	0.006513588502	0.283714962	0.363149594	0.213082965	0.0681081214	0.0240599282	0.01193762456	0.00319541418	0.02061680846
t	0.00077987994912	0.0039067295037	0.0023451444218	0.0560374092	0.437992348	0.325127734	0.0895085238	0.02387604652	0.0088082184	0.042867873358	0.0087500934
s	0.00176473806	0.00231549495808	0.005542310482	0.04347689356	0.2873025418	0.30537905334	0.0778145148	0.04160773008	0.0115363353	0.04359246673	0.179667859705
ù	0.005974961151	0.0106872160724	0.017448671186	0.07904000154	0.3560493914	0.13803410236	0.09431242374	0.05108292808	0.0313056436	0.043570431252	0.172494216434
n	0.00187291909	0.0025401865188	0.0051242049	0.032439053	0.324225646	0.1419277662	0.2724584052	0.0861603872	0.03794979444	0.02945563388	0.06584604864
n	0.00822626713657	0.0097306638188	0.0127300181186	0.02854207234	0.2244826492	0.32637329454	0.1201678856	0.0445463316	0.043984368612	0.02534935159	0.1558672103
i	0.0121913054328	0.01309488298	0.02010210594	0.051865201566	0.2960658482	0.0699772848	0.1160937292	0.10191829194	0.044499929852	0.11448649296	0.15970506
t	0.000782575587148	0.00162358679872	0.00066940289826	0.00501909802	0.2142874496	0.3644362952	0.252603922	0.1062479452	0.03577403764	0.0063292861	0.01222638782
i	0.00448454893271	0.00482071994096	0.00607796817524	0.00757269686	0.0562553868	0.35406068254	0.220779238	0.1145971688	0.0400467455	0.0499680644	0.141336757798
k	0.000564333987816	0.000818906644858	0.000916216489956	0.0009909087014	0.01855397432	0.3288616258	0.395559302	0.1594851852	0.0702419862	0.01144859322	0.012559135508
a	0.00438261634436	0.00841277254912	0.00497841297134	0.00629682127	0.05643231726	0.2700197292	0.208341248	0.1864585622	0.0366062816	0.0961649742	0.121906379232
è	0.00092034106476	0.00150199097135	0.00057421031074	0.000749126412	0.01053646746	0.177023705	0.38825921	0.297178192	0.1015876534	0.00651855932	0.015150532754
c	0.00117809008709	0.00104328083805	0.0013824031764	0.00208144927774	0.0138395410012	0.04732382466	0.481659244	0.293944886	0.09332266436	0.04882001768	0.01540466586
h	0.000994046764974	0.00227133881866	0.00318242342103	0.003327095484	0.0239568333	0.13051096742	0.29096422	0.2692835692	0.0311052732	0.08044228546	0.16396188616
i	0.0039095498371	0.0031484685094	0.0031215681952	0.004452617635	0.061414969488	0.0678664673	0.138795228	0.274530496	0.16183608272	0.17272984988	0.10819458612
o	0.000550867213628	0.00043683058134	0.0008913048676	0.000155259038	0.01221601188	0.00556030036	0.0609782234	0.41722561	0.4515153052	0.0231704368	0.0272998758
l	0.000228434893071	0.000748106893501	0.00214567664814	0.000539802114701	0.001345132744	0.00473804762	0.07130393	0.30028532	0.463050735	0.1286114948	0.0270035438
ù	0.00240283055092	0.00444245913009	0.00391748531928	0.0019576600072	0.00246990028	0.00993817006	0.0622705816	0.251149	0.2874334006	0.26754899	0.10646970064
s	0.000339992095387	0.000270071587136	0.00100391275283	0.00120720700362	0.005356530208	0.013902704976	0.0769326168	0.222264936	0.225125004	0.322749346	0.130847652
t	0.00456858796156	0.00729431108646	0.00509443639459	0.00411349919309	0.00416082537	0.009545669332	0.0313253668	0.2037391836	0.28358958	0.270167519	0.1764010358
r	0.00320685485054	0.00400348547982	0.00430256066401	0.0035784011492	0.007428355908	0.00725089166	0.031083294	0.115162353	0.19171853532	0.2996749072	0.33259045104
o	0.00574705310227	0.0062076779566	0.00709375580409	0.0045576125218	0.010704286032	0.01255789378	0.0498065168	0.1490352694	0.1846362004	0.320858993	0.248794706304
a	0.0066172394453	0.00701203696601	0.00286872472898	0.00082367856746	0.00537795386	0.002370516296	0.00718184453	0.0641711092	0.375757104	0.2259774	0.301842244
n	0.000127333274954	0.000313275615678	0.00137632990479	0.000875590268456	0.001007151416	0.000736171588	0.0067176232	0.0314313632	0.381828994	0.419073366	0.156512827
a	0.00093898003742	0.00104590133484	0.00132926869232	0.00034757515728	0.0003066039228	0.001810064739	0.043961981108	0.0486873114	0.2528282112	0.474004608	0.1747396104
m	0.000326166827562	0.00053076775698	0.00150138826965	0.00042537309166	0.0011264915822	0.00126227808	0.00639775354	0.0313461106	0.223258066	0.492718962	0.241106624
m	0.00121045694646	0.00279864443179	0.0013477238005	0.00159469700934	0.00088312046426	0.001572876196	0.005432568224	0.0276378936	0.1196758922	0.626981502	0.21086468572
è	0.0063980822829	0.00814033893735	0.00416948972179	0.00204106144563	0.00248304455278	0.0032068474528	0.005865735032	0.02278091028	0.104387866206	0.561062456	0.279463972033
n	0.0125558623611	0.0147931663452	0.00600993511296	0.00202778640849	0.00251240161068	0.001284426918	0.005995483068	0.011063727508	0.0741157766	0.512953486	0.356688022
o	0.0568016693007	0.0522603868194	0.0138047014058	0.0122560456635	0.0127239211085	0.006893777839	0.01023051986	0.02198971008	0.054064662	0.4412019294	0.3177727
