 	vengono	vestiti	dai	genitori	</S>
è	0.902835176	0.0115639873	0.021505138978	0.00675253307	0.0573432483013
r	0.798055182	0.10520315428	0.008318389826	0.00831372372942	0.0801097801887
k	0.496589972	0.3598989534	0.09114925508	0.012013519988	0.040348212906
u	0.48100302	0.259177973	0.09959093394	0.0439448323	0.11628341986
t	0.2446062132	0.65592612	0.0666359768	0.0088748963	0.02395668899
t	0.0924059664	0.518078196	0.200071974	0.05356097966	0.135882912661
e	0.1753265186	0.449897704	0.2101653216	0.04485216394	0.119758390318
n	0.01829035792	0.576484058	0.351855168	0.03717321388	0.0161971444
d	0.0201269781224	0.478783206	0.4110369726	0.0239718744	0.0660811106416
i	0.0211662608	0.3331975888	0.1702686852	0.1422719934	0.333095584936
m	0.004665540758	0.4163683	0.292482182	0.19917110786	0.0873130682
è	0.0048887349851	0.357704766	0.450534104	0.1081665592	0.078705796603
n	0.0056368421452	0.278806214	0.375648872	0.22205673	0.1178512752
i	0.0232829455101	0.291636294	0.353359444	0.199964722	0.1317565106
à	0.001947600417	0.03255408135	0.29695380688	0.546715436	0.121829011
t	0.0018747993972	0.02565338034	0.2316107696	0.65777439	0.0830865922
t	0.00332460486956	0.008987891534	0.230158158	0.6300185522	0.12751083766
u	0.0654636368718	0.021552054	0.0669332212	0.490001886	0.3560492282
s	0.0004237196734	0.002630179202	0.011886485884	0.581289602	0.403770086
g	0.0129501027596	0.014273442224	0.03915105534	0.705223672	0.22840169054
e	0.0148514410452	0.05066151166	0.07646547772	0.442708918	0.415312672508
n	0.00227754421772	0.003573871256	0.012655885332	0.499884992	0.481607768
i	0.00311215939786	0.0108982928987	0.034180135218	0.734115472	0.2176940975
t	0.00104736717984	0.004755325866	0.0068271415	0.34823474	0.639135608
ò	0.0021130739639	0.0051616602332	0.01855640057	0.781849874	0.1923190573
r	0.0008444128859	0.003880261306	0.01238862812	0.54273807	0.440148546
u	0.012176491861	0.012200600866	0.02248226188	0.622240356	0.330900316
</S>	0.0035662075192	0.00677891346	0.00283708372	0.1455379666	0.84127979
