 	non	aveva	cosa	a	fare	</S>
e	0.746633888	0.0607325884	0.014230557488	0.009048410192	0.0937601171396	0.0755944660887
n	0.676014495	0.1360955059	0.01959025212	0.010311429517	0.0042089204334	0.153779395663
ì	0.04821101279	0.5702720318	0.1678221032	0.08955802552	0.03161641338	0.0925203086017
c	0.00861129128	0.937746038	0.0403736805	0.00630251398	0.002622699352	0.004343866318
h	0.0194740498	0.69912826	0.1615854371	0.023913475968	0.0429945250321	0.052904255044
e	0.010613593192	0.797169402	0.143125518	0.01946691236	0.016248066064	0.0133765450034
t	0.003276542978	0.03695395236	0.76639398	0.132003386	0.008475197	0.0528968595
i	0.035445878972	0.018427646	0.604761544	0.167296072	0.038861852186	0.135207041672
k	0.0060765977744	0.004833833278	0.121810131	0.72612515	0.08985590982	0.0512984218
à	0.00381220578	0.03552154882	0.1636029632	0.44604909	0.251663125032	0.0993511342222
m	0.00680246279236	0.0182049308451	0.05909576126	0.22708603	0.45916519	0.2296456
i	0.051257389434	0.031018062686	0.13097178752	0.2490078656	0.50514699112	0.0325978667
</S>	0.00113813128766	0.0007895065436	0.005194446122	0.0413637938	0.263814692	0.687699486
