 	se	si	era	vestito	la	figlia	l	avessi	portata	alla	chiesa	</S>
a	0.737543272	0.07555271334	0.13908836518	0.004092048332	0.003181222206	0.0026635107694	0.0031230105468	0.002016357424	0.001355130637	0.0007857467908	0.002202927602	0.0283957608641
n	0.53767069664	0.191688104	0.06773044188	0.007051618948	0.003564599144	0.016612736392	0.0028656673632	0.0004167934744	0.00134691667916	0.000492334067107	0.00523321061798	0.165326781085
ì	0.020460763028	0.413644414	0.440891788	0.0516917628	0.02673367064	0.01509532018	0.004186117796	0.002275507668	0.001561918312	0.001086376712	0.002548403316	0.019823892627
c	0.01174409742	0.58682540175	0.356006204	0.00908117624	0.001441279196	0.003282270586	0.005841091443	0.0080625725292	0.006842685248	0.001150945999	0.0005686723396	0.0091535724332
h	0.04999365412	0.4575737104	0.303368966	0.0579522666	0.01616344972	0.004976910208	0.004853388041	0.0029667136552	0.00342928291574	0.00164845520408	0.0022116350948	0.09486146116
a	0.060975443	0.438538896	0.386011438	0.03632159866	0.0109967465	0.0105727777	0.009384516449	0.0054197906463	0.0098726754574	0.0073335524828	0.003010346748	0.021562318926
n	0.002993796263	0.2366847268	0.377572904	0.33886905	0.02682850972	0.009598345214	0.00326519064	0.0011770369976	0.0019259308958	0.00022945635408	0.000256307306	0.0005987643692
d	0.001396858766	0.09643382752	0.468811714	0.323994128	0.0493990952	0.009222339612	0.004866381888	0.008275401154	0.0037991267448	0.0039947985708	0.002537806944	0.0272685701266
ì	0.0127512122	0.1198034372	0.3018815454	0.2939488168	0.0841191436	0.045058707532	0.02853292228	0.0248435154	0.0189938791872	0.0152482108104	0.03050633298	0.0243121127832
s	0.002626565608	0.10394463258	0.27150697155	0.4816485672	0.0938847574	0.0335446709	0.00167394546	0.0054968931	0.00204534634	0.000366449634	0.0011214959788	0.00213966144
o	0.0066625601328	0.0686275754	0.305910977	0.445152676	0.0810151812	0.02617106234	0.00654250748	0.022326687094	0.00936028774	0.00503050511	0.00844319022	0.01475688334
n	0.00048856114268	0.006167972446	0.040076856046	0.385822376	0.463507798	0.0792009316	0.0154252284	0.004125340318	0.003782489544	0.000246187554	0.000424966388	0.000731429984
t	0.00101102919123	0.0107296361414	0.11525644742	0.372250403	0.39120001	0.03032467644	0.01209145178	0.01140814948	0.007899510098	0.004965271748	0.005674396784	0.037188915569
a	0.0013081956658	0.0161748943	0.0582795536	0.401451066	0.318449258	0.0559834581	0.03833225264	0.01324576616	0.02213224216	0.00844757168	0.01993689482	0.0462587167852
i	0.000199386579436	0.0012255254	0.0040203512248	0.1892384074	0.688202278	0.0818415702	0.01980943068	0.0039418583932	0.005698904204	0.0009100145848	0.00171343517	0.00319886734
