 	Marika	non	ha	mangiato	mai	un	rustico	</S>
e	0.900997352	0.008844217024	0.00727372828	0.001266161078	0.0100905433968	0.010941493501	0.00623587716	0.0543507358318
M	0.9650676	0.022464506951	0.0072273883214	0.00249591022752	0.00133592920694	0.00090820927766	0.000191444535	0.0003090794882
à	0.5760207106	0.15476730892	0.1087598486	0.027695369122	0.0140055468574	0.009829247106	0.0361296764208	0.072792290504
r	0.70394763	0.1139478494	0.1496849933	0.006466670646	0.0041149564238	0.0064017928818	0.0015628792755	0.013873140294
i	0.518368252	0.1880273008	0.1820359596	0.0277640092	0.021420178608	0.04020683572	0.0048110773008	0.01736642206
k	0.19314910594	0.535264578	0.2384532086	0.0143710856	0.01235425638	0.00238385055	0.00048781351	0.00353610137586
a	0.16856778768	0.24061637	0.449454512	0.054492354	0.00845847982	0.01244091244	0.02744924916	0.038520397448
e	0.102020691912	0.384546072	0.427263574	0.0462164106	0.03238224223	0.003312842465	0.0015880528364	0.00267024728
n	0.05430399914	0.18833277	0.486531038	0.2041445226	0.0283098664	0.01310075888	0.007901006738	0.017376032774
è	0.04978153274	0.06218750854	0.34056065	0.3458265834	0.0370715028	0.03350550536	0.0238264716	0.107240195662
f	0.0321630623064	0.061045962	0.345770766	0.3532149248	0.1173134148	0.03467593972	0.0024228618208	0.05339291801
a	0.0140331001973	0.05007976106	0.288533944	0.436657259	0.069294108	0.0297549814	0.01177975198	0.099867215912
m	0.000264044216	0.00770496932	0.0646658451	0.3079528784	0.509728022	0.0650249234	0.02008043684	0.02457907044
è	0.0118993021725	0.02485042634	0.10511161294	0.311165462	0.2584792927	0.1186269482	0.094512165	0.075354824211
n	0.0037967304134	0.00477080206	0.04500028234	0.340692434	0.307129158	0.184499782	0.0100430776	0.1040678244
a	0.0401327570515	0.033941185116	0.0677364266	0.244158652	0.227735662	0.26521491	0.03742217908	0.08365835006
m	0.000322940286	0.0006538359252	0.0037439992644	0.05968558486	0.400378222	0.459105544	0.031608573	0.0445013758
a	0.00910195084979	0.010197242802	0.025174169814	0.0841944922	0.1813161613	0.368017495	0.20711327	0.114885149378
i	0.0017138357728	0.0006304789728	0.0028407023494	0.03290463914	0.1728640188	0.573170942	0.139926024	0.0759494334
a	0.00072717877296	0.00058437528946	0.0033275074344	0.008621728876	0.0544467433	0.584089718	0.311133474	0.03706918
r	0.00089277708112	0.000710835287	0.00328676223	0.01110342599	0.0354602456	0.579047438	0.346319639	0.0231788837
ù	0.0256366463834	0.0023194273012	0.004797870576	0.00943401066	0.01543634086	0.3749075	0.4048189226	0.16264921638
s	0.00306687972256	0.0003768036958	0.0024817953046	0.0065951386	0.02002710748	0.39530982	0.2472261759	0.32491616
t	0.00492987645025	0.000847408151526	0.00314532949748	0.009927167412	0.02462370844	0.368241283	0.4220309392	0.1662543488
i	0.0138761752113	0.00268523125	0.003628163722	0.014387656274	0.04764071084	0.0937916656	0.360581458	0.46340900842
k	0.00101051526524	0.00073365471186	0.00461455268828	0.0059418778694	0.0117946066396	0.02643941288	0.591471922	0.357993404
o	0.00897594709236	0.00884029655966	0.00876611612836	0.008408399918	0.00522271232	0.0503189594	0.478518824	0.4309486451
</S>	0.0009051177809	0.0004737982522	0.0027164271534	0.0028744110034	0.007426054628	0.0138048484	0.526572251	0.445227024
