 	non	deve	magniare	la	sera	</S>
e	0.823317068	0.05810617684	0.004584551434	0.007504421142	0.006616098179	0.0998717264879
n	0.514801898	0.3547937192	0.03310676046	0.0075911986398	0.0106028070975	0.0791035923157
è	0.05602920254	0.6432764774	0.084292281154	0.1054238324	0.0688800534	0.042098226498
n	0.022683843	0.84426644	0.07729768486	0.01593225042	0.0180448201986	0.021774945636
a	0.04327309402	0.717953078	0.1851774358	0.02719512934	0.003602040932	0.022799336
f	0.00785383608	0.2097950992	0.639990168	0.0746959122	0.06179421828	0.00587084226
à	0.052333245392	0.12518267	0.4481898396	0.2308870636	0.0878803378	0.055526718464
i	0.002601452306	0.0723859944	0.486260422	0.2107075992	0.18782224612	0.0402221461
t	0.0014045676716	0.00449614961	0.20227356306	0.711319594	0.0663570962	0.0141490215
o	0.0064599132474	0.009039416714	0.0423769624	0.51208018	0.2655828854	0.164460457162
v	0.0010075955708	0.0009636341054	0.00800562263	0.527806126	0.4112122507	0.051004865314
r	0.0044759770126	0.0092864031794	0.0151715576	0.35381602	0.472522024	0.14472808364
à	0.003779642554	0.00721460658	0.01700675854	0.123923136	0.4509637492	0.39711222758
i	0.00074335523	0.010508098114	0.05160902076	0.150118328	0.6077544712	0.1792666562
</S>	0.0021938742707	0.00253926465756	0.0062882175428	0.109561848	0.416494402	0.4629222404
