 	prima	di	andare	alla	scuola	</S>
p	0.909383208	0.0141306408	0.001828363026	0.00220498925	0.007562618324	0.0648900836764
r	0.5753744548	0.2830165328	0.06404183796	0.0218797099	0.0061050077186	0.0495825347336
ì	0.370582332	0.245157447	0.1956854117	0.02709071174	0.03028702557	0.13119709832
m	0.2164106514	0.626339564	0.0426809804	0.0140381817	0.036747817248	0.06378270104
a	0.103727208	0.6536739288	0.090057001	0.013433471	0.01311009212	0.12599834478
n	0.01014731594	0.661565582	0.307710502	0.0063307958	0.005743261352	0.00850263258
a	0.032853933848	0.516556858	0.274904732	0.02537498656	0.0310947819	0.119214842053
p	0.005167002594	0.2813183446	0.661436048	0.01981362094	0.00899082612	0.02327431818
à	0.0248508566316	0.1733894078	0.543903312	0.077912819	0.05900711134	0.120936350593
i	0.00346818986	0.2241809014	0.590264812	0.1086629544	0.0264548841	0.04696830004
s	0.001894479243	0.024748424728	0.55910926	0.3773965948	0.0190813986	0.0177697717
t	0.003760614532	0.01775064842	0.256060554	0.385362706	0.1770983119	0.159967097067
i	0.01246807528	0.0633141676	0.2939386348	0.197102338	0.2529611843	0.180215573144
s	0.0008133519188	0.002732922214	0.1824656006	0.54988914	0.1970480252	0.0670509336
k	0.00688435040186	0.0112056296642	0.0409463934	0.512274	0.3000122306	0.128677365889
ò	0.023395035742	0.01101848914	0.0580049376	0.467893416	0.2061463164	0.233541744966
l	0.014950316414	0.0346366424	0.0816865776	0.289885022	0.300315013	0.278526362
a	0.0221786281811	0.017218736642	0.0379333802	0.412030887	0.3939281808	0.11671016642
</S>	0.0036298544458	0.0017952341894	0.017856265396	0.0892699044	0.682227056	0.205221836
