 	devo	pulire	l	albero	</S>
è	0.7218117056	0.23714963824	0.00509469089	0.01480979736	0.0211342215715
n	0.677569248	0.257678898	0.02110518758	0.0190444856825	0.024602130184
a	0.49847876	0.380788548	0.032325268	0.07825822994	0.0101492152
k	0.32164362596	0.5868480414	0.08468984216	0.0035560615476	0.0032623848792
a	0.012218862324	0.485331868	0.243733006	0.17571487	0.083001492511
t	0.04921083407	0.637210272	0.265782746	0.010741085048	0.03705519218
à	0.142526824866	0.314063016	0.2966393652	0.09217118214	0.154599429073
r	0.03146314706	0.427970086	0.2452658014	0.23681215926	0.05848878614
o	0.0721289739	0.41695898	0.287930044	0.1748314436	0.0481507458
t	0.017521656442	0.05069992922	0.8240247	0.0752201662	0.0325336626
o	0.00665975126897	0.02696837852	0.619386676	0.2014019488	0.14558322758
n	0.0068037757244	0.024319161794	0.694443958	0.2033264582	0.0711067194
à	0.0040657278413	0.0116959482872	0.31844581	0.441134816	0.224657711132
r	0.0180528919359	0.0164173550136	0.1779313854	0.724551132	0.0630472244
b	0.00813767994704	0.004217429788	0.06048239144	0.872737176	0.0544252144
u	0.00354545218	0.00809487742	0.03718396746	0.834203226	0.116972415186
r	0.00249813920267	0.00418060071734	0.05149956986	0.445649804	0.496171884
o	0.00147361204196	0.030493931134	0.04878142224	0.4653897126	0.453861287232
</S>	0.00369302788606	0.0043321496169	0.00797829208	0.1944390742	0.789557546
