 	deve	essere	bianco	</S>
è	0.934482828	0.01220631404	0.023619810326	0.0296911454788
n	0.801500372	0.1536617616	0.02585140578	0.0189865100527
a	0.540261156	0.304827513	0.1008695048	0.05404178434
è	0.29462556	0.683248198	0.0182091002	0.0039171751
n	0.0893741324	0.805413152	0.0961536378	0.00905906462
e	0.0387102302	0.62474115	0.23612044	0.100428026234
à	0.04245147838	0.645582525	0.28107645	0.0308896016
s	0.003063665028	0.0810858	0.898513684	0.01733684044
p	0.003753903794	0.0232825715	0.7518491	0.221114467924
r	0.0040265965528	0.021962111506	0.4151645306	0.55884688186
o	0.05056191382	0.1381549405	0.516188066	0.2950951724
</S>	0.0022798859816	0.01221379102	0.338587576	0.64691866
