 	venne	scritto	</S>
ì	0.886405438	0.056147843814	0.0574468170421
r	0.95424736	0.017559957111	0.02819272378
t	0.599403904	0.22724419827	0.173351994349
e	0.3245465314	0.347939782	0.327513738114
g	0.3243353478	0.577780614	0.097884088
r	0.14822228566	0.557459034	0.294318714008
a	0.1147710091	0.565203648	0.32002516139
m	0.015497002376	0.659242674	0.3252602948
m	0.00929467676	0.701556754	0.289148735559
è	0.08275832776	0.512668404	0.404573306882
n	0.03428638487	0.737373664	0.2283398866
o	0.055678611904	0.58079921	0.363522176
</S>	0.002000575614	0.160865848	0.837133446
