 	è	che	stanno	ancora	alzati	</S>
è	0.98182148	0.01014255644	0.003242619398	0.0003905502962	0.000892882818628	0.00350996552945
n	0.6401941	0.1508581444	0.0263005595	0.0189287853	0.0435534178444	0.120165026599
a	0.2635350014	0.458689934	0.1957486812	0.01074712434	0.01615993083	0.05511923268
s	0.124230405392	0.526980862	0.334976105	0.00945998948	0.000873895892	0.003478613386
t	0.018456333984	0.341733015	0.475655918	0.01522014752	0.012261672196	0.136672986172
a	0.05486274	0.530400428	0.3490134346	0.01067681426	0.0187036080151	0.0363430530963
s	0.008040802966	0.17198527846	0.591426318	0.1045192166	0.090544407316	0.0334839641
ù	0.037874804361	0.21582110238	0.472787472	0.07411282028	0.0205776404146	0.178826262108
n	0.0108746899	0.0257979364	0.5281847668	0.3148017002	0.04442929356	0.0759116675
e	0.0212425557686	0.091204558572	0.603196368	0.2215857062	0.009117785428	0.0536530967
a	0.0013165486446	0.0090037559342	0.1237699764	0.726199772	0.0932714976	0.0464384973
n	0.0015496940084	0.00578465687434	0.017798547513	0.777535118	0.1257638692	0.07156818374
k	0.0053104355	0.02215318063	0.0422427031	0.47715830942	0.1919954596	0.261139980226
ò	0.05944733188	0.08537747638	0.18864852704	0.126041897	0.0535572099	0.4869274696
r	0.03672124946	0.01572492012	0.19927066224	0.1698649946	0.0370966811	0.5413214376
a	0.045209595126	0.049968978096	0.123394939012	0.599305704	0.0795095918	0.1026111324
o	0.0150610839032	0.0243792190501	0.00908313903808	0.21439983352	0.6346855974	0.1023910096
r	0.0010933583582	0.00423474669018	0.00404377190907	0.03574901486	0.814231534	0.1406476626
t	0.006635933196	0.0206652254319	0.0017655899564	0.015839528552	0.655829784	0.2992640088
ì	0.02008488328	0.0405676394334	0.037093008766	0.03625731469	0.275098716	0.59089844
</S>	0.000697089475	0.00124909219965	0.0125269391924	0.02486262852	0.3617903368	0.5988738
