 	sta	e	dorme	nel	letto	</S>
s	0.875715492	0.0533970548	0.00589235006	0.0052363862026	0.00729865907948	0.0524600343845
t	0.78264839	0.0518995878	0.04185246304	0.0043090443	0.015804403504	0.103486213043
e	0.622854438	0.132874165	0.0437716168	0.12125839628	0.0119273559514	0.0673139953561
c	0.1170196916	0.837265302	0.0288783204	0.005257298108	0.0034901556404	0.0080892447104
e	0.07406596532	0.4123303596	0.2004140728	0.0255584362	0.161747475943	0.125883777667
p	0.037583588426	0.717617274	0.2215814538	0.01093523149	0.0053771983328	0.006905334628
l	0.0142115167	0.29204007	0.48416153	0.0386372872	0.0230617724628	0.147887895754
ò	0.0481952198	0.275797692	0.290389388	0.1883942535	0.0096237993408	0.187599593559
n	0.02427383576	0.2016116886	0.629680632	0.053334581	0.042638326972	0.0484608417
n	0.00430044364	0.0478797676	0.700881808	0.07260801586	0.0202346258919	0.15409534869
i	0.0401042184	0.1038960644	0.496338194	0.07776734626	0.012146681214	0.26974744582
s	0.007064493779	0.031107056	0.26334763	0.547665318	0.0569544602	0.0938611032
t	0.00498888330606	0.00870435904	0.266946723	0.455659973	0.061841569436	0.201858532244
o	0.02169372358	0.0457827102	0.1586778374	0.490373128	0.0836173808066	0.199855175042
g	0.0033532137658	0.01104102979	0.05385929688	0.669219698	0.1575990442	0.1049276944
r	0.00403511348204	0.0094108266712	0.05141102566	0.595300446	0.138104186005	0.201738331774
à	0.02169126514	0.02455402468	0.0346605582	0.346992674	0.232957446968	0.339143896925
t	0.0027847488852	0.01824152883	0.07137906296	0.2151129517	0.56740569556	0.1250760808
t	0.00289820903733	0.0071295265119	0.049558085922	0.1978774	0.543960568	0.198576128
i	0.0824934716168	0.05076572616	0.04150291142	0.1626696298	0.2416600172	0.4209081538
</S>	0.00712856667449	0.0142676582599	0.0122218850893	0.03760666284	0.224380606	0.704394662
