 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.770336962	0.09144289766	0.01737410892	0.002760191758	0.00266609136	0.002736993802	0.0126532330024	0.100029529271
t	0.64964916	0.1826795766	0.0148798276	0.02293201	0.015725086796	0.0056726801524	0.009211886564	0.0992498078871
i	0.705599288	0.1019869756	0.0184682224	0.0366468094	0.015620795699	0.0343665004678	0.02820475596	0.0591066888423
p	0.3233625776	0.55155739	0.0738132316	0.0278779608	0.003476558246	0.0053082993376	0.00250385456406	0.0121001522539
à	0.04491329756	0.297145358	0.246575062	0.2356788167	0.07914021938	0.01909592607	0.02311525312	0.0543361803908
s	0.0368101566	0.710838178	0.231298032	0.01094974272	0.002707155336	0.0004511423684	0.0013862929494	0.0055593599958
t	0.07978311508	0.357480698	0.378245296	0.0345613184	0.0613144393	0.003345166046	0.00584917952	0.07942074994
a	0.0236191738	0.460814786	0.2626479306	0.04105291772	0.0141125895	0.011228911144	0.09458553932	0.091938080682
v	0.00399625884	0.0562538074	0.76310887	0.154731572	0.01032495964	0.0054956392	0.00249863956	0.00359011015
à	0.0182399701556	0.0216897254	0.58077789	0.194087088	0.0848326118	0.01760902548	0.0225305646	0.0602329430904
l	0.0010007604764	0.00887339102	0.752928908	0.2066615	0.01650597012	0.003410862204	0.00298367958	0.007635021524
e	0.009155719161	0.0189012254	0.5855001	0.137239327	0.072964588	0.0087871576	0.0727609954	0.094690828044
à	0.0010924570422	0.002966250412	0.175204733	0.66638615	0.0908704478	0.0308235816	0.02245987134	0.010196472
l	0.0001819066083	0.00093087098614	0.0556446876	0.66240215	0.20533795	0.04559012108	0.0214947248	0.00841756192
a	0.00184238105566	0.0021458936144	0.0723626986	0.349000752	0.36368285	0.0282551318	0.10552639666	0.0771837696168
e	0.000870179205432	0.000597309048	0.012124982272	0.115285462	0.3443531432	0.349737112	0.1090508752	0.0679808186
t	9.83451925126e-05	0.00031613058266	0.001627649094	0.05363335188	0.384860848	0.484933252	0.0638264318	0.01070399598
è	0.00134813812665	0.00105660974424	0.0053259639454	0.04773831988	0.354938588	0.2567363812	0.251464748	0.081391304848
l	8.869157474e-05	0.00134592463932	0.0053862971748	0.0377178956	0.3705298216	0.1852274	0.3402753606	0.0594284154
i	0.000883572113046	0.00118031617868	0.006856656572	0.04995784686	0.3772505744	0.129499129	0.370402864	0.0639690928
t	0.00115672083781	0.000214071821	0.00056303852	0.006549625622	0.11940319688	0.493858498	0.16486532	0.213389568
à	0.00168272104252	0.00221798968429	0.00272268633139	0.004736560144	0.03393318592	0.203498784	0.623522612	0.127685705168
l	7.80284743828e-05	0.000317706828983	0.0010574293262	0.00232022002	0.03366793436	0.0430005786	0.747266788	0.1722913072
a	0.000178349256268	0.000764579105946	0.0023318264856	0.003869026996	0.032623676034	0.0795026624	0.78741056	0.0933193736
</S>	0.00101772734574	0.0002791072904	0.0005608989938	0.001834180062	0.0130209233806	0.07419470882	0.248301168	0.660791308
