 	il	ladro	poteva	entrare	da	qui	</S>
a39	0.00035532964025	0.00085242186935	0.00442185675	0.00122255425	0.14872142175	0.837930675	0.00649567285
a46	0.000499080130083	0.00118758422312	0.00586581868333	0.00116020458333	0.0537057755167	0.932119025	0.00546243118333
a31	0.000310236800161	0.000733014878387	0.00373073669885	0.000720475030343	0.0237992746056	0.967147791667	0.00355841490444
a35	0.00019155272352	0.000384644983476	0.00172389183736	0.000320643346014	0.0120981159019	0.978453780556	0.00682735214481
a31	0.000151991292357	0.000268521118343	0.00105485088209	0.000186590047971	0.00761151000063	0.982819203519	0.00790733260494
a20	9.43403986358e-05	0.000152481913299	0.000572841216997	0.00010086882529	0.00591603838021	0.980894011173	0.0122694527583
a31	7.51234287555e-05	0.000113802125574	0.000412161220136	7.218331203e-05	0.00495738434007	0.980642153724	0.0137272189728
a39	3.30266664621e-05	4.80117106661e-05	0.000176540424515	3.20083189433e-05	0.00448612441336	0.975759747908	0.0194645407109
a3	1.99261698207e-05	2.74988494554e-05	0.000108748212505	2.09200989811e-05	0.00175886045112	0.965554462636	0.032509578237
a31	7.5743236345e-06	1.05856766002e-05	4.73905620683e-05	1.2981335327e-05	0.00298122733037	0.974691967545	0.0222482548457
a7	6.10048590577e-06	8.0549297485e-06	3.86596109228e-05	1.14958047757e-05	0.00336309197679	0.951792102515	0.0447804837152
a10	6.72832176859e-06	8.87482468283e-06	4.73850069743e-05	1.08572699252e-05	0.00133731809226	0.911775167505	0.0868136579051
a31	3.36417281053e-06	4.63042138994e-06	2.90215495914e-05	1.29966356417e-05	0.00278881346409	0.933071222502	0.0640899512017
a11	1.99665692451e-06	2.47484595898e-06	1.65719804638e-05	1.22269801139e-05	0.00326479356803	0.919109030834	0.0775929156339
a18	2.2965735415e-06	2.43110848633e-06	1.43484404879e-05	6.10713560463e-06	0.00123668164268	0.794923933611	0.203814195211
a28	2.66131464717e-06	2.72292456211e-06	1.44289638293e-05	4.51839386821e-06	0.000569785320893	0.721922244537	0.277483658404
a31	2.08364227239e-06	2.35441345404e-06	3.67857692764e-05	3.46233099561e-05	0.0026895211403	0.815156128179	0.182078548935
a11	9.9133571413e-07	1.24676546468e-06	3.98337862588e-05	4.40043071187e-05	0.00343749584677	0.822777922726	0.173698539112
a13	7.05445071377e-07	8.44033744893e-07	1.74024469196e-05	1.73501406062e-05	0.00149621124892	0.737945960909	0.260521529704
a31	5.37226190459e-07	9.79207524964e-07	7.23565019732e-05	4.57512879687e-05	0.00291591908297	0.81480150697	0.182162905235
a20	3.5099452882e-07	8.51470327655e-07	8.87700492577e-05	5.39092070729e-05	0.00325386045432	0.72790566899	0.268696553745
a31	2.44394021607e-07	5.75501805218e-07	5.76691416859e-05	3.3485189441e-05	0.00259244957811	0.699724722997	0.297590844248
a8	2.02998636269e-07	4.75027829639e-07	4.71769681086e-05	2.6473743667e-05	0.00233852272604	0.698004650999	0.299582494416
</S>	1.02244641734e-07	2.3888384167e-07	2.36178603743e-05	1.33311336135e-05	0.00121976066302	0.553707890499	0.445035077208
