 	avete	cucinato	le	verdure	</S>
a39	0.03832130173	0.02017864644	0.059908094	0.678167775	0.203424135
a31	0.0382332044524	0.020052242329	0.0698861406667	0.727888201667	0.143940185
a35	0.0144350603598	0.008445557492	0.0659131508889	0.799532143889	0.111674065
a31	0.00650214477387	0.00457640310733	0.086230970963	0.80634471463	0.096345723
a20	0.00245771197856	0.00181984015911	0.087238795521	0.811679804877	0.096803829
a31	0.00110960636068	0.00090617957637	0.10712916704	0.795851611626	0.0950034426667
a20	0.000391805211383	0.000327852326457	0.1118496792	0.772202813875	0.115227850556
a39	0.000153456624594	0.000123855494652	0.0376416483867	0.784753904625	0.177327120185
a28	5.69921716647e-05	4.4355231384e-05	0.0127993962222	0.759738734875	0.227360490062
a31	0.000104486276555	0.000291399215461	0.0146224360341	0.781709911625	0.203271766687
</S>	0.000173374168278	0.000557312807731	0.0226426615171	0.842751905813	0.133874788344
