 	se	si	era	vestita	la	mia	figlia	l	avessi	portata	alla	chiesa	</S>
a31	2.4095845003e-05	0.0004688204575	0.00043183768275	0.0009152682275	0.001169189466	0.001071280183	0.0009238223035	0.00176249115	0.00632692312	0.7927633	0.03297147045	0.061378579	0.0997929695
a24	3.62031483343e-05	0.000788539885833	0.000564850370917	0.0012445662425	0.001497306822	0.00134821211767	0.00111459601783	0.00198434307	0.00682412687333	0.488745888	0.0519457634833	0.140131031667	0.3037746265
a28	0.00127767597944	0.00712556172861	0.00196423258031	0.00570756721417	0.00349244794067	0.00247658309589	0.00300167305594	0.00501483684333	0.00582025745778	0.190757796333	0.0433119944944	0.192861097222	0.5371882755
a39	0.00221009495981	0.0126481559095	0.00313110569344	0.00984098407139	0.00538982004689	0.00357487903196	0.00465167468531	0.00779232781444	0.00654273828593	0.0796018147777	0.0290533351648	0.192786639074	0.642776391833
a17	0.00419949855327	0.0228921556365	0.00495627306448	0.0177562316905	0.00912938841563	0.00578192651065	0.00798977512844	0.0145718471381	0.010635622562	0.0577798869259	0.0286931167216	0.182697699691	0.632916563944
a31	0.00433215159076	0.0225889574088	0.00475635777816	0.0174603128768	0.00887631411521	0.00558650359688	0.00792037796615	0.0148671940227	0.010917071754	0.189744397309	0.0982779302405	0.166075349897	0.448597101315
a20	0.00175415358659	0.00917655466627	0.00196957888272	0.00690061977227	0.00357248621507	0.00229733469229	0.00315514771205	0.0057223878509	0.004837000518	0.21255842577	0.112886342747	0.169358329966	0.465811647105
a31	0.000894691412897	0.00470191125642	0.00103708565424	0.00337128655742	0.00180257816169	0.00120460814743	0.00156161837068	0.00265990113363	0.00282412177267	0.224894045257	0.123706946916	0.167698809989	0.463642355702
a17	0.000407125288332	0.00223435745314	0.000522514744747	0.00159024811914	0.000914324410563	0.00064770036581	0.000772385976893	0.00124776146121	0.00190297092422	0.228548528952	0.126863218972	0.170152169996	0.464196658567
a8	0.000417888979444	0.00257455948438	0.000567722881582	0.00172614917305	0.00101579420352	0.00069898515527	0.000903064578964	0.00137943525374	0.00126602420807	0.0778196800173	0.0488015686573	0.195014949999	0.667814186189
a31	0.000312813848948	0.00203910641279	0.000448972597194	0.00137489512102	0.000868601281173	0.000628831351757	0.000757426319655	0.00114239448458	0.00157272740269	0.180783566506	0.106863301886	0.185242593333	0.51796474873
a8	0.000188957098783	0.0011570102556	0.000266293292398	0.000759471303673	0.000512487753724	0.000398097383919	0.000429920853218	0.000630366328193	0.00138363735756	0.214091392235	0.122573027629	0.176436164444	0.48117310291
a24	0.000153275228928	0.00102260105187	0.000220465007466	0.000626827801224	0.000434128907908	0.000329287441306	0.000347140377739	0.000486379806064	0.00077436484252	0.076110831145	0.059481409543	0.212155304815	0.647857934303
a31	5.71200745927e-05	0.00053410070229	0.000163466929155	0.000403886733741	0.000414195712636	0.000385638893769	0.000253723329246	0.000338226422021	0.00210941044751	0.249262457382	0.091132433181	0.187464016938	0.467481311434
a20	9.50643971476e-05	0.000608312719097	0.000175997543052	0.00042179336458	0.000409546314212	0.000387783847923	0.000258324616415	0.000351472864007	0.00244747117584	0.302596850107	0.0854615450603	0.153372764313	0.453413070478
a31	0.000107510793983	0.000619673712032	0.000156392714351	0.000385283008193	0.000348841201404	0.000333446172641	0.000224418318805	0.000296272501336	0.00200286115195	0.276274247682	0.105326302353	0.153958698104	0.459966026826
a41	7.0044356261e-05	0.000455801176344	0.000126693824784	0.000303979736064	0.000294990227135	0.000293651967547	0.000179280776268	0.000228847040445	0.00183474176398	0.267493647394	0.112009131284	0.158143969368	0.458565198942
a31	5.75665057803e-05	0.000403327319781	0.000122648568261	0.000284847168688	0.000299340362378	0.000311013825849	0.000172256385423	0.000212949800148	0.00196746383466	0.269958737298	0.109593130928	0.158610713123	0.458005986314
a13	3.92873989534e-05	0.000289592000927	0.00010310013942	0.000223204709563	0.000270541600793	0.00029680514395	0.000145331728474	0.000173479890049	0.00198774931289	0.270727420306	0.108584201809	0.158054641041	0.459104615438
a37	4.70269996511e-05	0.000410414353642	9.96493364733e-05	0.000278881149854	0.000218883776931	0.00018745692665	0.000143023406158	0.00018365977335	0.000783088022297	0.0907869615753	0.0403884944363	0.189432160347	0.677040291813
