 	non	ho	cosa	a	fare	</S>
a8	0.0275789651253	0.043754463514	0.03031003041	0.25952348	0.40811864	0.230714365
a31	0.0275775059311	0.043747299012	0.0302382869654	0.182223905667	0.546540986667	0.169672005
a37	0.00923032516172	0.0146601562513	0.0102020129505	0.075594103889	0.666623142222	0.223690268333
a10	0.00312015541391	0.00497786417477	0.00354966591683	0.033542210963	0.631431867407	0.323378246111
a37	0.00107364996597	0.00171704365259	0.00124357244394	0.0148035886543	0.508120055802	0.473042098704
a10	0.00044225683199	0.000709036780863	0.00051418348298	0.00658293868477	0.338154345267	0.653597232901
a0	0.000432253903997	0.000622477813621	0.00039948010766	0.00467390269492	0.258494485089	0.7353773943
a20	0.000648334767999	0.00085013340454	0.000508310252553	0.00529867656497	0.226181571696	0.766512981433
a17	0.000720950809333	0.00092601786818	0.000576152400851	0.00625371252166	0.222500037232	0.769023140478
a20	0.000681025669778	0.000878500489393	0.00058367900695	0.00677281550722	0.217243695744	0.773840293493
a8	0.000524507956593	0.000676860556464	0.000468210942317	0.00582945216907	0.204770781915	0.787730211164
</S>	0.000391075928297	0.000500383318232	0.000347777646158	0.00466193508453	0.197237180958	0.796861675582
