 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
a31	4.665414985e-07	6.963400435e-08	1.209090998e-06	1.049141305e-05	1.4570561e-05	2.239398265e-06	6.6870428e-06	0.000284489595	0.62092853	0.377831605	0.00091958185
a28	7.85140042895e-05	2.34903782548e-05	6.03368914327e-05	0.000192162926017	0.000233698393667	7.2663852755e-05	0.000115500178267	0.000359036105	0.296730961467	0.692901001667	0.00923264695
a37	0.000118214899763	3.48225004183e-05	9.18051181442e-05	0.000293277382006	0.000372031747889	0.000109968109585	0.000174562376089	0.000398475981667	0.103655963956	0.875137943889	0.0196130103167
a31	5.33966966018e-05	1.517874687e-05	4.31402231207e-05	0.000144236948479	0.000197133542433	5.19025777373e-05	8.49274944697e-05	0.000215629590556	0.0537332333187	0.93043622463	0.0150250245056
a17	7.58864338814e-05	2.24786530205e-05	5.29286371129e-05	0.00016071860397	0.000205746317281	6.19608151214e-05	8.73932205966e-05	0.000154940740185	0.0352901130729	0.936839554877	0.0270482659019
a31	8.33826819035e-05	2.49119185107e-05	5.61904854603e-05	0.000166205558087	0.000208615249907	6.53132092768e-05	8.82108947989e-05	0.000134502852928	0.0295609453243	0.938550331626	0.0310614193006
a28	5.33465979108e-05	1.55876043407e-05	3.56200615761e-05	0.000105684569459	0.000136645407449	4.16399479953e-05	5.38198428663e-05	8.0404335176e-05	0.0273734733414	0.929177363875	0.0429264557669
a17	5.37879259703e-05	1.52442764469e-05	3.66854395254e-05	0.000113569535153	0.000156540202483	4.47935206651e-05	5.65008469554e-05	8.75390230587e-05	0.0102077823471	0.921473331292	0.067754208589
a20	4.39821569901e-05	1.19108988156e-05	3.00315348418e-05	0.000100761403718	0.000155363947494	3.88110118884e-05	5.03512183185e-05	9.11971210196e-05	0.00492848984903	0.929626733764	0.0649223195297
a31	3.02636658417e-05	8.03542034527e-06	1.99035043173e-05	6.85497655527e-05	0.000111339416965	2.57927011595e-05	3.42136353762e-05	6.91411816732e-05	0.0212684270163	0.935056311255	0.0433080145766
