 	io	nella	mia	vita	ho	sempre	lavorato	</S>
a8	0.00213749192798	0.00122597180739	0.00191695071925	0.0014275129975	0.00471988035	0.070841425	0.901998865	0.01573187215
a31	0.00213735130324	0.00122589278956	0.0019167420815	0.00142092596383	0.00302743722	0.056259575	0.926081955	0.00793011185
a29	0.000738951161665	0.00042193692628	0.000661120453919	0.000508608355942	0.00115523279333	0.036737218	0.952802685	0.00697428198333
a10	0.000285168136555	0.000159046736427	0.000253029425306	0.000250236685314	0.000855326614443	0.0186253373333	0.971756995	0.00781489989444
a24	0.000111376498018	6.04049181423e-05	9.75503177687e-05	0.000130723324371	0.000646623808814	0.0112224941778	0.968883965	0.0188468681981
a31	4.10956657584e-05	2.24292432512e-05	3.52745217046e-05	4.5146919857e-05	0.000231108219605	0.0085865997926	0.969984121667	0.0210542322327
a24	1.39188365252e-05	7.60238893753e-06	1.19482888499e-05	1.52609276357e-05	8.6879544535e-05	0.00759631199753	0.977737707222	0.0145303979109
a16	4.55170451951e-05	2.79759832958e-05	3.71721857833e-05	2.00874910952e-05	6.12149635117e-05	0.00402978263251	0.973130602407	0.0226476663036
a31	5.58300574047e-05	3.46414158468e-05	4.53906856899e-05	2.15090104051e-05	5.88887981706e-05	0.00659313911084	0.974635134136	0.0185554740012
a20	4.47229118079e-05	2.77889823638e-05	3.57661069921e-05	1.59621745084e-05	4.23727153902e-05	0.00686885270361	0.962467544712	0.0304969952337
a31	4.10204249318e-05	2.55047972775e-05	3.25577820814e-05	1.41086910638e-05	3.59593114634e-05	0.00659347756787	0.958657371571	0.0345999844112
a11	1.60177956398e-05	9.95017124873e-06	1.28550154445e-05	5.8943305156e-06	2.41579318211e-05	0.00641451458929	0.96504413719	0.0284724321371
a17	1.55988328799e-05	1.00692990829e-05	1.28718184815e-05	5.92770743853e-06	2.0000062607e-05	0.00294674669643	0.949662602397	0.0473261720457
a11	1.524605996e-05	9.88477856097e-06	1.26428612605e-05	6.19412481284e-06	2.2666359869e-05	0.00208251599881	0.950305114132	0.0475457256819
a17	3.101992632e-05	2.1923004387e-05	2.62280218535e-05	1.08962952709e-05	3.6958577623e-05	0.0023653287996	0.960105501377	0.037402115894
a31	3.41511718043e-05	2.4713448991e-05	2.89948856455e-05	1.11364673803e-05	5.65920438743e-05	0.0055904837332	0.969835717126	0.0244181686313
a20	1.87392342991e-05	1.42762551923e-05	1.51895302428e-05	4.93469941677e-06	4.47611352914e-05	0.0058133809444	0.937702772375	0.0563858805438
a31	1.36004681154e-05	1.07965410402e-05	1.05859410956e-05	2.85331662559e-06	5.14958157638e-05	0.0077784090148	0.924880157458	0.0672520330146
a20	6.1937017208e-06	5.10786408953e-06	4.72759304653e-06	1.26181802853e-06	5.15478924546e-05	0.00833061940493	0.887182809153	0.104417683838
a8	3.8729069136e-06	3.36330746984e-06	2.88635646551e-06	6.8690439951e-07	1.87445201515e-05	0.00316628704498	0.840510739718	0.156293431279
a31	1.45466223453e-06	1.28088654128e-06	1.09796066517e-06	5.01901889837e-07	4.63009355172e-05	0.00808140385833	0.897703769906	0.0941641894263
a24	5.43455544843e-07	4.66243695093e-07	4.28631001723e-07	4.18588496612e-07	5.61197045057e-05	0.0102934098528	0.947975733302	0.0416728561421
a31	2.70756561614e-07	2.11302838364e-07	2.55053907241e-07	7.97116565537e-07	8.46982055019e-05	0.00945727718427	0.965617111101	0.0248393578474
a10	2.22342697205e-07	1.84191932788e-07	2.20635125747e-07	9.11062515846e-07	9.3159672334e-05	0.00844734347809	0.8655390037	0.125918944416
a31	2.24201312402e-07	1.85243978929e-07	2.30946428582e-07	9.45686399282e-07	9.15728079447e-05	0.0090797602427	0.8296240879	0.161203040805
a11	1.50635116467e-07	1.1045957331e-07	1.79046131527e-07	9.43358694094e-07	9.09529783716e-05	0.0093162320809	0.818622382633	0.171969099602
a46	7.10625841557e-08	5.94576641033e-08	7.5934929509e-08	3.24324082031e-07	3.06461033139e-05	0.0033382122103	0.707081050878	0.289549576534
a6	3.86482243852e-08	3.60550147011e-08	3.86468361697e-08	1.2977647101e-07	1.10847554046e-05	0.00149573028677	0.714036173626	0.284456768845
a31	4.51316898128e-07	2.770567009e-07	5.7660779139e-07	1.384854011e-06	6.38242179682e-05	0.00588304479559	0.823468857875	0.170581590615
a26	5.83913978376e-07	3.52220712467e-07	7.50962125463e-07	1.79036232667e-06	8.08497865561e-05	0.00714638999186	0.753615629292	0.239153664538
a31	7.55135738459e-07	4.63796202989e-07	9.05887536821e-07	1.62944576522e-06	6.91436994187e-05	0.00781611039062	0.727662903097	0.264448130513
a8	8.09814951486e-07	4.98297301763e-07	9.55498215207e-07	1.57367495941e-06	6.51820456196e-05	0.00802820585687	0.719376637699	0.272526202504
</S>	4.06218833743e-07	2.50570852032e-07	4.78975262003e-07	7.88988286205e-07	3.26858815298e-05	0.00410041551844	0.595249898849	0.400615126252
