 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
a31	4.431229515e-05	1.1818266919e-05	8.8300868705e-06	1.01974843345e-05	0.00016211784475	0.00348430815	0.88561973	0.03276050075	0.0345051959	0.0433929895
a28	0.00105791594838	0.000261094406973	0.000127065390624	0.000160726169445	0.000676940481583	0.00520159591667	0.561388138667	0.03861894925	0.1076938253	0.284813723167
a24	0.00145699751613	0.000350805679658	0.000168025467875	0.000210822283148	0.000824388117194	0.00386023008889	0.206196464889	0.02915043275	0.184621528433	0.573160291056
a28	0.00758526630538	0.00105558661722	0.000348152206958	0.000452705554383	0.00181925762906	0.00718302881296	0.0989340726297	0.02578073025	0.197414899478	0.659426313685
a31	0.00954000694246	0.00127750221161	0.000402868634086	0.000528661289794	0.00212591711969	0.00910908927099	0.28664406521	0.0580958920833	0.157879546493	0.474396457895
a20	0.00378729728815	0.00055409598307	0.000189377416462	0.000241347614931	0.000966086716563	0.00459637399033	0.331716809303	0.0645373075278	0.146232252164	0.447179072632
a31	0.00186896479585	0.00031281728569	0.000118464129154	0.000145741313644	0.000589350932188	0.00306192939678	0.320309880668	0.0850997193426	0.147377400721	0.441115760877
a13	0.00086349903175	0.000161791156563	6.8236106718e-05	8.1182716548e-05	0.000374747270729	0.00235745984559	0.316100336989	0.0919863994475	0.154041893574	0.433964490292
a31	0.00052844274625	0.000111657085088	5.21111692393e-05	6.02008268493e-05	0.000322967090243	0.0023032666952	0.31992473243	0.0951817928158	0.152510907858	0.429003916764
a41	0.00029733319775	6.6298364596e-05	3.36256147464e-05	3.75098592831e-05	0.000251614020081	0.0021572110184	0.320660629977	0.0959461221719	0.149148989286	0.431400638921
a33	0.00029062256925	6.2182469532e-05	3.00544205821e-05	3.3793287761e-05	0.000164478916694	0.000884012409467	0.107709352459	0.036464560624	0.192868199762	0.66149273964
a8	0.000381129413083	5.8962027844e-05	2.53509298607e-05	2.9779069587e-05	0.000129830242231	0.000500925926489	0.0368964661197	0.0200835348747	0.217871919921	0.724022083213
a24	0.000481155894361	6.13572402813e-05	2.50829486202e-05	2.81790478623e-05	0.000168167460744	0.00059178384883	0.0211043953732	0.0218109632916	0.22255174664	0.733177151071
a37	0.00375794092145	0.000356729221094	0.000108553696207	0.000130960969287	0.000704511816915	0.00261195084961	0.0256106911244	0.0227762530972	0.211439682213	0.732502717024
a5	0.00486417530715	0.000483459973698	0.000161531228736	0.000190024183096	0.00143729510564	0.00838522861654	0.270771641708	0.0252502333657	0.162025419404	0.526430985675
a31	0.00179972977905	0.000221140270233	0.000111853386245	0.000117485007699	0.00178221086855	0.0141362538722	0.630916413903	0.0376328811219	0.093755783468	0.219526252225
a20	0.00064912218635	9.44906450777e-05	6.6041198415e-05	6.50121620663e-05	0.00128070465085	0.0106995314057	0.499368963778	0.030220917474	0.105649649489	0.351905571075
a31	0.00025428747645	4.63857546926e-05	4.6720813805e-05	4.35825788554e-05	0.00112771034495	0.00952890025023	0.442516213736	0.0397891655913	0.11061055183	0.396036473025
a8	9.770199195e-05	2.57546738309e-05	3.79134915017e-05	3.39736830851e-05	0.00106649651998	0.00912194220741	0.423471987299	0.0429372964638	0.120255529277	0.402951380342
a31	5.561920945e-05	2.5528445877e-05	4.72367127339e-05	4.12461658284e-05	0.00150301321166	0.0109596045265	0.392024645153	0.0563777254213	0.129018841426	0.409946520114
a20	3.97897293967e-05	2.50650813923e-05	5.00620892046e-05	4.33968777095e-05	0.00164707324279	0.0115694156068	0.381517314143	0.0606740829404	0.123673538809	0.420760250038
a24	2.81865127122e-05	1.20698905641e-05	2.02235666949e-05	1.74357760032e-05	0.000615092606497	0.0041125932336	0.139012252807	0.0564400754468	0.213578239603	0.586163826679
a31	0.000167237317571	8.92168235214e-05	0.000137424850898	0.000113876356334	0.00333715608883	0.0169192143445	0.300488553269	0.0812919438156	0.203608953201	0.393846438893
a37	0.000199095509174	0.000111371095927	0.000173160562099	0.000143215322178	0.00417972274148	0.0209344156555	0.34252515598	0.0551084875052	0.151643931067	0.424981456298
</S>	9.9740369562e-05	5.57687500935e-05	8.67159637495e-05	7.1708581189e-05	0.00209083643854	0.0104691451388	0.171310955325	0.0290849681026	0.167769855533	0.618960313149
